"country","year","infant_mortality"
"St. Vincent and the Grenadines",1961,NA
"Samoa",1961,NA
"Saudi Arabia",1961,NA
"Senegal",1961,126
"Serbia",1961,NA
"Seychelles",1961,72.3
"Sierra Leone",1961,220.5
"Singapore",1961,32.9
"Slovak Republic",1961,NA
"Slovenia",1961,NA
"Solomon Islands",1961,125.4
"South Africa",1961,NA
"Spain",1961,44.4
"Sri Lanka",1961,69.8
"Sudan",1961,105.7
"Suriname",1961,NA
"Swaziland",1961,140.1
"Sweden",1961,16
"Switzerland",1961,21.2
"Syria",1961,116
"Tajikistan",1961,NA
"Tanzania",1961,143
"Thailand",1961,99
"Timor-Leste",1961,NA
"Togo",1961,159.4
"Tonga",1961,NA
"Trinidad and Tobago",1961,54.7
"Tunisia",1961,187.5
"Turkey",1961,161.6
"Turkmenistan",1961,NA
"Uganda",1961,129.6
"Ukraine",1961,NA
"United Arab Emirates",1961,130.5
"United Kingdom",1961,22.5
"United States",1961,25.4
"Uruguay",1961,56.4
"Uzbekistan",1961,NA
"Vanuatu",1961,104.1
"Venezuela",1961,58.1
"West Bank and Gaza",1961,NA
"Vietnam",1961,72.6
"Yemen",1961,269.2
"Zambia",1961,120.9
"Zimbabwe",1961,90.1
"Albania",1962,106.5
"Algeria",1962,148.2
"Angola",1962,NA
"Antigua and Barbuda",1962,NA
"Argentina",1962,59.59
"Armenia",1962,NA
"Aruba",1962,NA
"Australia",1962,19.5
"Austria",1962,32.9
"Azerbaijan",1962,NA
"Bahamas",1962,NA
"Bahrain",1962,114.1
"Bangladesh",1962,167.6
"Barbados",1962,61.2
"Belarus",1962,NA
"Belgium",1962,27
"Belize",1962,NA
"Benin",1962,180.6
"Bhutan",1962,NA
"Bolivia",1962,167.7
"Bosnia and Herzegovina",1962,NA
"Botswana",1962,109
"Brazil",1962,122.9
"Brunei",1962,NA
"Bulgaria",1962,NA
"Burkina Faso",1962,157.5
"Burundi",1962,144.6
"Cambodia",1962,NA
"Cameroon",1962,160.5
"Canada",1962,26
"Cape Verde",1962,NA
"Central African Republic",1962,160.4
"Chad",1962,NA
"Chile",1962,116.7
"China",1962,110
"Colombia",1962,85.9
"Comoros",1962,NA
"Congo, Dem. Rep.",1962,NA
"Congo, Rep.",1962,106.1
"Costa Rica",1962,80.64
"Cote d'Ivoire",1962,197.7
"Croatia",1962,NA
"Cuba",1962,NA
"Cyprus",1962,NA
"Czech Republic",1962,NA
"Denmark",1962,20.2
"Djibouti",1962,NA
"Dominican Republic",1962,99.6
"Ecuador",1962,115.3
"Egypt",1962,195.9
"El Salvador",1962,121.6
"Equatorial Guinea",1962,NA
"Eritrea",1962,NA
"Estonia",1962,NA
"Ethiopia",1962,NA
"Fiji",1962,50.3
"Finland",1962,19.5
"France",1962,21.3
"French Polynesia",1962,NA
"Gabon",1962,NA
"Gambia",1962,143.8
"Georgia",1962,NA
"Germany",1962,NA
"Ghana",1962,122.7
"Greece",1962,46.2
"Greenland",1962,NA
"Grenada",1962,NA
"Guatemala",1962,140.7
"Guinea",1962,209.1
"Guinea-Bissau",1962,NA
"Guyana",1962,62.9
"Haiti",1962,188.3
"Honduras",1962,132.4
"Hong Kong, China",1962,NA
"Hungary",1962,49
"Iceland",1962,16.9
"India",1962,160.1
"Indonesia",1962,141.2
"Iran",1962,176.37
"Iraq",1962,118.3
"Ireland",1962,28
"Israel",1962,NA
"Italy",1962,41
"Jamaica",1962,57.7
"Japan",1962,25.5
"Jordan",1962,96.6
"Kazakhstan",1962,NA
"Kenya",1962,109.9
"Kiribati",1962,NA
"South Korea",1962,72.4
"Kuwait",1962,89
"Kyrgyz Republic",1962,NA
"Lao",1962,NA
"Latvia",1962,NA
"Lebanon",1962,54.7
"Lesotho",1962,141.7
"Liberia",1962,211.4
"Libya",1962,148.4
"Lithuania",1962,NA
"Luxembourg",1962,NA
"Macao, China",1962,NA
"Macedonia, FYR",1962,NA
"Madagascar",1962,NA
"Malawi",1962,214.6
"Malaysia",1962,61.1
"Maldives",1962,NA
"Mali",1962,225.2
"Malta",1962,33.7
"Mauritania",1962,128.9
"Mauritius",1962,63.6
"Mexico",1962,94.9
"Micronesia, Fed. Sts.",1962,NA
"Moldova",1962,NA
"Mongolia",1962,NA
"Montenegro",1962,NA
"Morocco",1962,140.4
"Mozambique",1962,NA
"Namibia",1962,NA
"Nepal",1962,213.3
"Netherlands",1962,15.6
"New Caledonia",1962,NA
"New Zealand",1962,20.9
"Nicaragua",1962,131.1
"Niger",1962,NA
"Nigeria",1962,182.6
"Norway",1962,17.5
"Oman",1962,226
"Pakistan",1962,178
"Panama",1962,63.6
"Papua New Guinea",1962,126.9
"Paraguay",1962,61.4
"Peru",1962,129.1
"Philippines",1962,64.2
"Poland",1962,49.6
"Portugal",1962,78.7
"Puerto Rico",1962,NA
"Qatar",1962,NA
"Romania",1962,NA
"Russia",1962,NA
"Rwanda",1962,123.4
"St. Lucia",1962,NA
"St. Vincent and the Grenadines",1962,NA
"Samoa",1962,NA
"Saudi Arabia",1962,NA
"Senegal",1962,126
"Serbia",1962,NA
"Seychelles",1962,70.9
"Sierra Leone",1962,217.5
"Singapore",1962,30.8
"Slovak Republic",1962,NA
"Slovenia",1962,NA
"Solomon Islands",1962,119.3
"South Africa",1962,NA
"Spain",1962,41.7
"Sri Lanka",1962,67.1
"Sudan",1962,104.1
"Suriname",1962,NA
"Swaziland",1962,138.1
"Sweden",1962,15.6
"Switzerland",1962,20.7
"Syria",1962,110.6
"Tajikistan",1962,NA
"Tanzania",1962,141.9
"Thailand",1962,95.8
"Timor-Leste",1962,NA
"Togo",1962,156.4
"Tonga",1962,NA
"Trinidad and Tobago",1962,53.1
"Tunisia",1962,178.7
"Turkey",1962,157.1
"Turkmenistan",1962,NA
"Uganda",1962,127.3
"Ukraine",1962,NA
"United Arab Emirates",1962,124
"United Kingdom",1962,22
"United States",1962,24.9
"Uruguay",1962,54.9
"Uzbekistan",1962,NA
"Vanuatu",1962,101.6
"Venezuela",1962,56.6
"West Bank and Gaza",1962,NA
"Vietnam",1962,69.9
"Yemen",1962,263.7
"Zambia",1962,118.7
"Zimbabwe",1962,87.6
"Albania",1963,101.8
"Algeria",1963,148.4
"Angola",1963,NA
"Antigua and Barbuda",1963,NA
"Argentina",1963,59.39
"Armenia",1963,NA
"Aruba",1963,NA
"Australia",1963,19.2
"Austria",1963,31.2
"Azerbaijan",1963,NA
"Bahamas",1963,NA
"Bahrain",1963,105.1
"Bangladesh",1963,163.7
"Barbados",1963,57.6
"Belarus",1963,NA
"Belgium",1963,26
"Belize",1963,NA
"Benin",1963,177.1
"Bhutan",1963,NA
"Bolivia",1963,165
"Bosnia and Herzegovina",1963,NA
"Botswana",1963,105.8
"Brazil",1963,119.9
"Brunei",1963,NA
"Bulgaria",1963,40.6
"Burkina Faso",1963,155.8
"Burundi",1963,144.3
"Cambodia",1963,NA
"Cameroon",1963,158.1
"Canada",1963,25.1
"Cape Verde",1963,NA
"Central African Republic",1963,157.6
"Chad",1963,NA
"Chile",1963,111.9
"China",1963,NA
"Colombia",1963,84.3
"Comoros",1963,NA
"Congo, Dem. Rep.",1963,NA
"Congo, Rep.",1963,104.2
"Costa Rica",1963,77.78
"Cote d'Ivoire",1963,192.8
"Croatia",1963,NA
"Cuba",1963,41.8
"Cyprus",1963,NA
"Czech Republic",1963,NA
"Denmark",1963,19.5
"Djibouti",1963,NA
"Dominican Republic",1963,98.1
"Ecuador",1963,112.3
"Egypt",1963,189.4
"El Salvador",1963,119.4
"Equatorial Guinea",1963,NA
"Eritrea",1963,NA
"Estonia",1963,NA
"Ethiopia",1963,NA
"Fiji",1963,48.8
"Finland",1963,18.4
"France",1963,20.3
"French Polynesia",1963,NA
"Gabon",1963,NA
"Gambia",1963,141.5
"Georgia",1963,NA
"Germany",1963,NA
"Ghana",1963,121.8
"Greece",1963,45
"Greenland",1963,NA
"Grenada",1963,NA
"Guatemala",1963,138
"Guinea",1963,207.6
"Guinea-Bissau",1963,NA
"Guyana",1963,61
"Haiti",1963,185.2
"Honduras",1963,128.4
"Hong Kong, China",1963,NA
"Hungary",1963,47.3
"Iceland",1963,16.4
"India",1963,157.6
"Indonesia",1963,137.7
"Iran",1963,169.26
"Iraq",1963,112.5
"Ireland",1963,27
"Israel",1963,NA
"Italy",1963,39.2
"Jamaica",1963,55.8
"Japan",1963,23.2
"Jordan",1963,91.6
"Kazakhstan",1963,NA
"Kenya",1963,106.5
"Kiribati",1963,122.2
"South Korea",1963,68.8
"Kuwait",1963,83.3
"Kyrgyz Republic",1963,NA
"Lao",1963,NA
"Latvia",1963,NA
"Lebanon",1963,53.4
"Lesotho",1963,141.5
"Liberia",1963,210.4
"Libya",1963,140.9
"Lithuania",1963,NA
"Luxembourg",1963,NA
"Macao, China",1963,NA
"Macedonia, FYR",1963,NA
"Madagascar",1963,NA
"Malawi",1963,212.9
"Malaysia",1963,58.3
"Maldives",1963,217.1
"Mali",1963,216.5
"Malta",1963,32.6
"Mauritania",1963,126
"Mauritius",1963,59.9
"Mexico",1963,90.8
"Micronesia, Fed. Sts.",1963,NA
"Moldova",1963,NA
"Mongolia",1963,NA
"Montenegro",1963,NA
"Morocco",1963,138
"Mozambique",1963,NA
"Namibia",1963,NA
"Nepal",1963,209.4
"Netherlands",1963,15.3
"New Caledonia",1963,NA
"New Zealand",1963,20
"Nicaragua",1963,129.7
"Niger",1963,NA
"Nigeria",1963,181.4
"Norway",1963,17.1
"Oman",1963,218.7
"Pakistan",1963,171.7
"Panama",1963,61.9
"Papua New Guinea",1963,123.2
"Paraguay",1963,60.9
"Peru",1963,125.4
"Philippines",1963,62.7
"Poland",1963,46.8
"Portugal",1963,74.4
"Puerto Rico",1963,NA
"Qatar",1963,NA
"Romania",1963,NA
"Russia",1963,NA
"Rwanda",1963,122.4
"St. Lucia",1963,NA
"St. Vincent and the Grenadines",1963,NA
"Samoa",1963,NA
"Saudi Arabia",1963,NA
"Senegal",1963,125.9
"Serbia",1963,NA
"Seychelles",1963,69.5
"Sierra Leone",1963,214.2
"Singapore",1963,29.3
"Slovak Republic",1963,NA
"Slovenia",1963,NA
"Solomon Islands",1963,113.7
"South Africa",1963,NA
"Spain",1963,39.3
"Sri Lanka",1963,64.6
"Sudan",1963,102.6
"Suriname",1963,NA
"Swaziland",1963,136
"Sweden",1963,15
"Switzerland",1963,20.1
"Syria",1963,105.6
"Tajikistan",1963,NA
"Tanzania",1963,140.5
"Thailand",1963,92.7
"Timor-Leste",1963,NA
"Togo",1963,153.5
"Tonga",1963,60.4
"Trinidad and Tobago",1963,51.5
"Tunisia",1963,170.9
"Turkey",1963,152.6
"Turkmenistan",1963,NA
"Uganda",1963,125
"Ukraine",1963,NA
"United Arab Emirates",1963,117.4
"United Kingdom",1963,21.4
"United States",1963,24.4
"Uruguay",1963,53.6
"Uzbekistan",1963,NA
"Vanuatu",1963,98.8
"Venezuela",1963,55.3
"West Bank and Gaza",1963,NA
"Vietnam",1963,67.3
"Yemen",1963,276.9
"Zambia",1963,116.7
"Zimbabwe",1963,85.3
"Albania",1964,97.9
"Algeria",1964,148.7
"Angola",1964,NA
"Antigua and Barbuda",1964,NA
"Argentina",1964,59.25
"Armenia",1964,NA
"Aruba",1964,NA
"Australia",1964,18.8
"Austria",1964,29.7
"Azerbaijan",1964,NA
"Bahamas",1964,NA
"Bahrain",1964,96.6
"Bangladesh",1964,160.3
"Barbados",1964,54.4
"Belarus",1964,NA
"Belgium",1964,25
"Belize",1964,NA
"Benin",1964,173.6
"Bhutan",1964,NA
"Bolivia",1964,162.2
"Bosnia and Herzegovina",1964,NA
"Botswana",1964,102.8
"Brazil",1964,117.1
"Brunei",1964,NA
"Bulgaria",1964,39.9
"Burkina Faso",1964,154.3
"Burundi",1964,142.8
"Cambodia",1964,NA
"Cameroon",1964,155.5
"Canada",1964,24
"Cape Verde",1964,NA
"Central African Republic",1964,154.7
"Chad",1964,NA
"Chile",1964,105.1
"China",1964,NA
"Colombia",1964,82.6
"Comoros",1964,NA
"Congo, Dem. Rep.",1964,NA
"Congo, Rep.",1964,102.1
"Costa Rica",1964,75.1
"Cote d'Ivoire",1964,188
"Croatia",1964,NA
"Cuba",1964,40.4
"Cyprus",1964,NA
"Czech Republic",1964,NA
"Denmark",1964,18.7
"Djibouti",1964,NA
"Dominican Republic",1964,96.4
"Ecuador",1964,109.6
"Egypt",1964,183.4
"El Salvador",1964,117.4
"Equatorial Guinea",1964,NA
"Eritrea",1964,NA
"Estonia",1964,NA
"Ethiopia",1964,NA
"Fiji",1964,47.5
"Finland",1964,17.4
"France",1964,19.4
"French Polynesia",1964,NA
"Gabon",1964,NA
"Gambia",1964,139.3
"Georgia",1964,NA
"Germany",1964,NA
"Ghana",1964,121.2
"Greece",1964,43.6
"Greenland",1964,NA
"Grenada",1964,NA
"Guatemala",1964,135.3
"Guinea",1964,206.1
"Guinea-Bissau",1964,NA
"Guyana",1964,59.5
"Haiti",1964,182.2
"Honduras",1964,124.5
"Hong Kong, China",1964,NA
"Hungary",1964,45.8
"Iceland",1964,16
"India",1964,155.3
"Indonesia",1964,134.1
"Iran",1964,162.5
"Iraq",1964,107.1
"Ireland",1964,26
"Israel",1964,NA
"Italy",1964,37.3
"Jamaica",1964,54
"Japan",1964,21
"Jordan",1964,87.1
"Kazakhstan",1964,NA
"Kenya",1964,103.6
"Kiribati",1964,117.8
"South Korea",1964,65.3
"Kuwait",1964,77.8
"Kyrgyz Republic",1964,NA
"Lao",1964,NA
"Latvia",1964,NA
"Lebanon",1964,52.3
"Lesotho",1964,141.3
"Liberia",1964,208.8
"Libya",1964,133.5
"Lithuania",1964,NA
"Luxembourg",1964,25.4
"Macao, China",1964,NA
"Macedonia, FYR",1964,NA
"Madagascar",1964,NA
"Malawi",1964,214.3
"Malaysia",1964,55.8
"Maldives",1964,211.1
"Mali",1964,212.8
"Malta",1964,31.6
"Mauritania",1964,123.1
"Mauritius",1964,58.1
"Mexico",1964,89.3
"Micronesia, Fed. Sts.",1964,NA
"Moldova",1964,NA
"Mongolia",1964,NA
"Montenegro",1964,NA
"Morocco",1964,135.5
"Mozambique",1964,180.5
"Namibia",1964,NA
"Nepal",1964,205.2
"Netherlands",1964,14.9
"New Caledonia",1964,NA
"New Zealand",1964,19.3
"Nicaragua",1964,128.2
"Niger",1964,NA
"Nigeria",1964,195.4
"Norway",1964,16.6
"Oman",1964,207.9
"Pakistan",1964,165.8
"Panama",1964,60.4
"Papua New Guinea",1964,119.6
"Paraguay",1964,60.5
"Peru",1964,121.8
"Philippines",1964,61.4
"Poland",1964,43.9
"Portugal",1964,70.1
"Puerto Rico",1964,NA
"Qatar",1964,NA
"Romania",1964,NA
"Russia",1964,NA
"Rwanda",1964,122
"St. Lucia",1964,NA
"St. Vincent and the Grenadines",1964,NA
"Samoa",1964,NA
"Saudi Arabia",1964,NA
"Senegal",1964,125.9
"Serbia",1964,NA
"Seychelles",1964,67.8
"Sierra Leone",1964,211
"Singapore",1964,28.3
"Slovak Republic",1964,NA
"Slovenia",1964,NA
"Solomon Islands",1964,108.4
"South Africa",1964,NA
"Spain",1964,37.3
"Sri Lanka",1964,62.4
"Sudan",1964,101.1
"Suriname",1964,NA
"Swaziland",1964,133.7
"Sweden",1964,14.4
"Switzerland",1964,19.3
"Syria",1964,100.8
"Tajikistan",1964,NA
"Tanzania",1964,139
"Thailand",1964,89.7
"Timor-Leste",1964,NA
"Togo",1964,150.5
"Tonga",1964,57
"Trinidad and Tobago",1964,50.1
"Tunisia",1964,163.2
"Turkey",1964,148.2
"Turkmenistan",1964,NA
"Uganda",1964,122.9
"Ukraine",1964,NA
"United Arab Emirates",1964,111
"United Kingdom",1964,20.8
"United States",1964,23.8
"Uruguay",1964,52.7
"Uzbekistan",1964,NA
"Vanuatu",1964,95.9
"Venezuela",1964,54.2
"West Bank and Gaza",1964,NA
"Vietnam",1964,61.7
"Yemen",1964,270.7
"Zambia",1964,115.1
"Zimbabwe",1964,82.8
"Albania",1965,94.1
"Algeria",1965,149.1
"Angola",1965,NA
"Antigua and Barbuda",1965,NA
"Argentina",1965,59.11
"Armenia",1965,NA
"Aruba",1965,NA
"Australia",1965,18.6
"Austria",1965,28.3
"Azerbaijan",1965,NA
"Bahamas",1965,NA
"Bahrain",1965,88.6
"Bangladesh",1965,157.4
"Barbados",1965,51.7
"Belarus",1965,NA
"Belgium",1965,24.1
"Belize",1965,NA
"Benin",1965,170.2
"Bhutan",1965,NA
"Bolivia",1965,159.4
"Bosnia and Herzegovina",1965,NA
"Botswana",1965,99.8
"Brazil",1965,114.5
"Brunei",1965,NA
"Bulgaria",1965,39.4
"Burkina Faso",1965,153
"Burundi",1965,143.6
"Cambodia",1965,NA
"Cameroon",1965,152.2
"Canada",1965,23.1
"Cape Verde",1965,NA
"Central African Republic",1965,151.7
"Chad",1965,NA
"Chile",1965,96.5
"China",1965,81
"Colombia",1965,80.9
"Comoros",1965,NA
"Congo, Dem. Rep.",1965,NA
"Congo, Rep.",1965,99.7
"Costa Rica",1965,68.8
"Cote d'Ivoire",1965,183.3
"Croatia",1965,NA
"Cuba",1965,39.5
"Cyprus",1965,NA
"Czech Republic",1965,NA
"Denmark",1965,17.8
"Djibouti",1965,NA
"Dominican Republic",1965,94.6
"Ecuador",1965,107
"Egypt",1965,178.1
"El Salvador",1965,115.5
"Equatorial Guinea",1965,NA
"Eritrea",1965,NA
"Estonia",1965,NA
"Ethiopia",1965,NA
"Fiji",1965,46.3
"Finland",1965,16.6
"France",1965,18.5
"French Polynesia",1965,NA
"Gabon",1965,NA
"Gambia",1965,137.1
"Georgia",1965,NA
"Germany",1965,NA
"Ghana",1965,120.8
"Greece",1965,42.3
"Greenland",1965,NA
"Grenada",1965,NA
"Guatemala",1965,132.6
"Guinea",1965,204.5
"Guinea-Bissau",1965,NA
"Guyana",1965,58.3
"Haiti",1965,179.1
"Honduras",1965,120.5
"Hong Kong, China",1965,NA
"Hungary",1965,44.4
"Iceland",1965,15.5
"India",1965,153.2
"Indonesia",1965,130.6
"Iran",1965,155.99
"Iraq",1965,102.1
"Ireland",1965,24.7
"Israel",1965,NA
"Italy",1965,35.7
"Jamaica",1965,52.4
"Japan",1965,19.1
"Jordan",1965,82.8
"Kazakhstan",1965,NA
"Kenya",1965,101.2
"Kiribati",1965,113.9
"South Korea",1965,61.6
"Kuwait",1965,72.6
"Kyrgyz Republic",1965,NA
"Lao",1965,NA
"Latvia",1965,NA
"Lebanon",1965,51.4
"Lesotho",1965,140.9
"Liberia",1965,206.8
"Libya",1965,126.6
"Lithuania",1965,NA
"Luxembourg",1965,24.4
"Macao, China",1965,NA
"Macedonia, FYR",1965,NA
"Madagascar",1965,111
"Malawi",1965,213.3
"Malaysia",1965,53.4
"Maldives",1965,205.3
"Mali",1965,209.2
"Malta",1965,30.6
"Mauritania",1965,120.3
"Mauritius",1965,60.5
"Mexico",1965,87.6
"Micronesia, Fed. Sts.",1965,NA
"Moldova",1965,NA
"Mongolia",1965,NA
"Montenegro",1965,NA
"Morocco",1965,133
"Mozambique",1965,185.6
"Namibia",1965,NA
"Nepal",1965,200.7
"Netherlands",1965,14.5
"New Caledonia",1965,NA
"New Zealand",1965,18.7
