"country","year","fertility"
"Belize",1961,6.48
"Benin",1961,6.34
"Bhutan",1961,6.67
"Bolivia",1961,6.67
"Bosnia and Herzegovina",1961,3.95
"Botswana",1961,6.63
"Brazil",1961,6.19
"Brunei",1961,6.49
"Bulgaria",1961,2.23
"Burkina Faso",1961,6.32
"Burundi",1961,7
"Cambodia",1961,6.96
"Cameroon",1961,5.71
"Canada",1961,3.85
"Cape Verde",1961,6.92
"Central African Republic",1961,5.87
"Chad",1961,6.27
"Chile",1961,5.54
"China",1961,3.28
"Colombia",1961,6.8
"Comoros",1961,6.85
"Congo, Dem. Rep.",1961,6.02
"Congo, Rep.",1961,5.92
"Costa Rica",1961,7.3
"Cote d'Ivoire",1961,7.43
"Croatia",1961,2.3
"Cuba",1961,4.36
"Cyprus",1961,3.47
"Czech Republic",1961,2.27
"Denmark",1961,2.55
"Djibouti",1961,6.49
"Dominican Republic",1961,7.49
"Ecuador",1961,6.67
"Egypt",1961,6.61
"El Salvador",1961,6.75
"Equatorial Guinea",1961,5.52
"Eritrea",1961,6.87
"Estonia",1961,1.95
"Ethiopia",1961,6.88
"Fiji",1961,6.28
"Finland",1961,2.65
"France",1961,2.8
"French Polynesia",1961,5.58
"Gabon",1961,4.46
"Gambia",1961,5.62
"Georgia",1961,2.97
"Germany",1961,2.44
"Ghana",1961,6.79
"Greece",1961,2.22
"Greenland",1961,7.31
"Grenada",1961,6.63
"Guatemala",1961,6.51
"Guinea",1961,6.11
"Guinea-Bissau",1961,5.77
"Guyana",1961,5.58
"Haiti",1961,6.32
"Honduras",1961,7.45
"Hong Kong, China",1961,5.21
"Hungary",1961,1.97
"Iceland",1961,4.07
"India",1961,5.86
"Indonesia",1961,5.66
"Iran",1961,6.92
"Iraq",1961,6.36
"Ireland",1961,3.93
"Israel",1961,3.84
"Italy",1961,2.41
"Jamaica",1961,5.53
"Japan",1961,1.98
"Jordan",1961,7.8
"Kazakhstan",1961,4.51
"Kenya",1961,8
"Kiribati",1961,7.01
"South Korea",1961,5.99
"Kuwait",1961,7.28
"Kyrgyz Republic",1961,5.26
"Lao",1961,5.96
"Latvia",1961,1.88
"Lebanon",1961,5.72
"Lesotho",1961,5.83
"Liberia",1961,6.43
"Libya",1961,7.57
"Lithuania",1961,2.5
"Luxembourg",1961,2.38
"Macao, China",1961,4.76
"Macedonia, FYR",1961,3.67
"Madagascar",1961,7.3
"Malawi",1961,6.95
"Malaysia",1961,6.14
"Maldives",1961,7.08
"Mali",1961,6.73
"Malta",1961,3.38
"Mauritania",1961,6.79
"Mauritius",1961,6.18
"Mexico",1961,6.78
"Micronesia, Fed. Sts.",1961,6.92
"Moldova",1961,3.26
"Mongolia",1961,7.17
"Montenegro",1961,3.42
"Morocco",1961,7.11
"Mozambique",1961,6.6
"Namibia",1961,6.17
"Nepal",1961,5.99
"Netherlands",1961,3.22
"New Caledonia",1961,5.22
"New Zealand",1961,3.61
"Nicaragua",1961,7.26
"Niger",1961,7.08
"Nigeria",1961,6.35
"Norway",1961,2.91
"Oman",1961,7.25
"Pakistan",1961,6.6
"Panama",1961,5.85
"Papua New Guinea",1961,6.28
"Paraguay",1961,6.49
"Peru",1961,6.87
"Philippines",1961,7.09
"Poland",1961,2.85
"Portugal",1961,3.18
"Puerto Rico",1961,4.55
"Qatar",1961,6.97
"Romania",1961,2.16
"Russia",1961,2.46
"Rwanda",1961,8.19
"St. Lucia",1961,6.93
"St. Vincent and the Grenadines",1961,7.16
"Samoa",1961,7.65
"Saudi Arabia",1961,7.23
"Senegal",1961,6.99
"Serbia",1961,2.6
"Seychelles",1961,5.4
"Sierra Leone",1961,6.09
"Singapore",1961,5.56
"Slovak Republic",1961,3.01
"Slovenia",1961,2.33
"Solomon Islands",1961,6.39
"South Africa",1961,6.14
"Spain",1961,2.79
"Sri Lanka",1961,5.42
"Sudan",1961,6.71
"Suriname",1961,6.59
"Swaziland",1961,6.73
"Sweden",1961,2.23
"Switzerland",1961,2.55
"Syria",1961,7.5
"Tajikistan",1961,6.27
"Tanzania",1961,6.81
"Thailand",1961,6.15
"Timor-Leste",1961,6.38
"Togo",1961,6.57
"Tonga",1961,7.35
"Trinidad and Tobago",1961,5.18
"Tunisia",1961,7.09
"Turkey",1961,6.24
"Turkmenistan",1961,6.54
"Uganda",1961,7.02
"Ukraine",1961,2.31
"United Arab Emirates",1961,6.91
"United Kingdom",1961,2.75
"United States",1961,3.63
"Uruguay",1961,2.89
"Uzbekistan",1961,6.76
"Vanuatu",1961,7.12
"Venezuela",1961,6.64
"West Bank and Gaza",1961,7.8
"Vietnam",1961,6.39
"Yemen",1961,7.31
"Zambia",1961,7.07
"Zimbabwe",1961,7.22
"Albania",1962,5.96
"Algeria",1962,7.65
"Angola",1962,7.39
"Antigua and Barbuda",1962,4.34
"Argentina",1962,3.09
"Armenia",1962,4.44
"Aruba",1962,4.47
"Australia",1962,3.43
"Austria",1962,2.8
"Azerbaijan",1962,5.59
"Bahamas",1962,4.45
"Bahrain",1962,7.17
"Bangladesh",1962,6.79
"Barbados",1962,4.27
"Belarus",1962,2.7
"Belgium",1962,2.63
"Belize",1962,6.46
"Benin",1962,6.39
"Bhutan",1962,6.67
"Bolivia",1962,6.65
"Bosnia and Herzegovina",1962,3.85
"Botswana",1962,6.65
"Brazil",1962,6.14
"Brunei",1962,6.45
"Bulgaria",1962,2.21
"Burkina Faso",1962,6.34
"Burundi",1962,7.05
"Cambodia",1962,6.96
"Cameroon",1962,5.77
"Canada",1962,3.77
"Cape Verde",1962,6.95
"Central African Republic",1962,5.89
"Chad",1962,6.29
"Chile",1962,5.46
"China",1962,5.97
"Colombia",1962,6.78
"Comoros",1962,6.9
"Congo, Dem. Rep.",1962,6.03
"Congo, Rep.",1962,5.97
"Costa Rica",1962,7.22
"Cote d'Ivoire",1962,7.5
"Croatia",1962,2.27
"Cuba",1962,4.51
"Cyprus",1962,3.42
"Czech Republic",1962,2.23
"Denmark",1962,2.54
"Djibouti",1962,6.53
"Dominican Republic",1962,7.4
"Ecuador",1962,6.65
"Egypt",1962,6.57
"El Salvador",1962,6.75
"Equatorial Guinea",1962,5.53
"Eritrea",1962,6.84
"Estonia",1962,1.94
"Ethiopia",1962,6.88
"Fiji",1962,6.09
"Finland",1962,2.66
"France",1962,2.81
"French Polynesia",1962,5.5
"Gabon",1962,4.54
"Gambia",1962,5.67
"Georgia",1962,2.95
"Germany",1962,2.47
"Ghana",1962,6.83
"Greece",1962,2.22
"Greenland",1962,7.09
"Grenada",1962,6.44
"Guatemala",1962,6.49
"Guinea",1962,6.12
"Guinea-Bissau",1962,5.67
"Guyana",1962,5.49
"Haiti",1962,6.3
"Honduras",1962,7.44
"Hong Kong, China",1962,5.18
"Hungary",1962,1.92
"Iceland",1962,3.98
"India",1962,5.84
"Indonesia",1962,5.65
"Iran",1962,6.91
"Iraq",1962,6.51
"Ireland",1962,3.98
"Israel",1962,3.83
"Italy",1962,2.44
"Jamaica",1962,5.63
"Japan",1962,1.97
"Jordan",1962,7.9
"Kazakhstan",1962,4.44
"Kenya",1962,8.04
"Kiribati",1962,7.08
"South Korea",1962,5.79
"Kuwait",1962,7.31
"Kyrgyz Republic",1962,5.31
"Lao",1962,5.97
"Latvia",1962,1.86
"Lebanon",1962,5.69
"Lesotho",1962,5.82
"Liberia",1962,6.45
"Libya",1962,7.61
"Lithuania",1962,2.46
"Luxembourg",1962,2.39
"Macao, China",1962,4.53
"Macedonia, FYR",1962,3.6
"Madagascar",1962,7.3
"Malawi",1962,6.98
"Malaysia",1962,6.05
"Maldives",1962,7.12
"Mali",1962,6.75
"Malta",1962,3.2
"Mauritania",1962,6.79
"Mauritius",1962,6.12
"Mexico",1962,6.77
"Micronesia, Fed. Sts.",1962,6.91
"Moldova",1962,3.18
"Mongolia",1962,7.35
"Montenegro",1962,3.31
"Morocco",1962,7.13
"Mozambique",1962,6.6
"Namibia",1962,6.18
"Nepal",1962,6
"Netherlands",1962,3.18
"New Caledonia",1962,5.22
"New Zealand",1962,3.51
"Nicaragua",1962,7.18
"Niger",1962,7.12
"Nigeria",1962,6.35
"Norway",1962,2.89
"Oman",1962,7.25
"Pakistan",1962,6.6
"Panama",1962,5.81
"Papua New Guinea",1962,6.28
"Paraguay",1962,6.47
"Peru",1962,6.86
"Philippines",1962,7.02
"Poland",1962,2.72
"Portugal",1962,3.19
"Puerto Rico",1962,4.41
"Qatar",1962,6.98
"Romania",1962,2.02
"Russia",1962,2.34
"Rwanda",1962,8.2
"St. Lucia",1962,6.88
"St. Vincent and the Grenadines",1962,7.07
"Samoa",1962,7.63
"Saudi Arabia",1962,7.24
"Senegal",1962,7.04
"Serbia",1962,2.57
"Seychelles",1962,5.53
"Sierra Leone",1962,6.16
"Singapore",1962,5.27
"Slovak Republic",1962,2.94
"Slovenia",1962,2.33
"Solomon Islands",1962,6.38
"South Africa",1962,6.1
"Spain",1962,2.8
"Sri Lanka",1962,5.3
"Sudan",1962,6.74
"Suriname",1962,6.56
"Swaziland",1962,6.75
"Sweden",1962,2.26
"Switzerland",1962,2.58
"Syria",1962,7.52
"Tajikistan",1962,6.31
"Tanzania",1962,6.8
"Thailand",1962,6.16
"Timor-Leste",1962,6.38
"Togo",1962,6.62
"Tonga",1962,7.3
"Trinidad and Tobago",1962,5.05
"Tunisia",1962,7.12
"Turkey",1962,6.18
"Turkmenistan",1962,6.63
"Uganda",1962,7.04
"Ukraine",1962,2.21
"United Arab Emirates",1962,6.89
"United Kingdom",1962,2.79
"United States",1962,3.48
"Uruguay",1962,2.89
"Uzbekistan",1962,6.78
"Vanuatu",1962,7.03
"Venezuela",1962,6.63
"West Bank and Gaza",1962,7.91
"Vietnam",1962,6.43
"Yemen",1962,7.33
"Zambia",1962,7.13
"Zimbabwe",1962,7.27
"Albania",1963,5.83
"Algeria",1963,7.65
"Angola",1963,7.41
"Antigua and Barbuda",1963,4.3
"Argentina",1963,3.08
"Armenia",1963,4.32
"Aruba",1963,4.27
"Australia",1963,3.34
"Austria",1963,2.82
"Azerbaijan",1963,5.55
"Bahamas",1963,4.36
"Bahrain",1963,7.19
"Bangladesh",1963,6.83
"Barbados",1963,4.2
"Belarus",1963,2.65
"Belgium",1963,2.63
"Belize",1963,6.44
"Benin",1963,6.45
"Bhutan",1963,6.67
"Bolivia",1963,6.63
"Bosnia and Herzegovina",1963,3.74
"Botswana",1963,6.67
"Brazil",1963,6.06
"Brunei",1963,6.36
"Bulgaria",1963,2.2
"Burkina Faso",1963,6.38
"Burundi",1963,7.09
"Cambodia",1963,6.94
"Cameroon",1963,5.83
"Canada",1963,3.68
"Cape Verde",1963,6.98
"Central African Republic",1963,5.91
"Chad",1963,6.3
"Chile",1963,5.34
"China",1963,7.41
"Colombia",1963,6.73
"Comoros",1963,6.94
"Congo, Dem. Rep.",1963,6.05
"Congo, Rep.",1963,6.01
"Costa Rica",1963,7.09
"Cote d'Ivoire",1963,7.57
"Croatia",1963,2.24
"Cuba",1963,4.61
"Cyprus",1963,3.35
"Czech Republic",1963,2.18
"Denmark",1963,2.64
"Djibouti",1963,6.56
"Dominican Republic",1963,7.3
"Ecuador",1963,6.62
"Egypt",1963,6.53
"El Salvador",1963,6.74
"Equatorial Guinea",1963,5.55
"Eritrea",1963,6.81
"Estonia",1963,1.95
"Ethiopia",1963,6.87
"Fiji",1963,5.88
"Finland",1963,2.66
"France",1963,2.81
"French Polynesia",1963,5.43
"Gabon",1963,4.62
"Gambia",1963,5.72
"Georgia",1963,2.92
"Germany",1963,2.49
"Ghana",1963,6.86
"Greece",1963,2.23
"Greenland",1963,7.04
"Grenada",1963,6.2
"Guatemala",1963,6.46
"Guinea",1963,6.13
"Guinea-Bissau",1963,5.52
"Guyana",1963,5.4
"Haiti",1963,6.27
"Honduras",1963,7.44
"Hong Kong, China",1963,5.05
"Hungary",1963,1.89
"Iceland",1963,3.86
"India",1963,5.83
"Indonesia",1963,5.63
"Iran",1963,6.9
"Iraq",1963,6.69
"Ireland",1963,4
"Israel",1963,3.82
"Italy",1963,2.47
"Jamaica",1963,5.71
"Japan",1963,1.97
"Jordan",1963,7.98
"Kazakhstan",1963,4.33
"Kenya",1963,8.08
"Kiribati",1963,7.14
"South Korea",1963,5.57
"Kuwait",1963,7.35
"Kyrgyz Republic",1963,5.34
"Lao",1963,5.97
"Latvia",1963,1.84
"Lebanon",1963,5.65
"Lesotho",1963,5.81
"Liberia",1963,6.48
"Libya",1963,7.64
"Lithuania",1963,2.42
"Luxembourg",1963,2.39
"Macao, China",1963,4.24
"Macedonia, FYR",1963,3.53
"Madagascar",1963,7.3
"Malawi",1963,7.02
"Malaysia",1963,5.94
"Maldives",1963,7.15
"Mali",1963,6.77
"Malta",1963,3.01
"Mauritania",1963,6.8
"Mauritius",1963,5.99
"Mexico",1963,6.77
"Micronesia, Fed. Sts.",1963,6.9
"Moldova",1963,3.09
"Mongolia",1963,7.48
"Montenegro",1963,3.2
"Morocco",1963,7.14
"Mozambique",1963,6.6
"Namibia",1963,6.2
"Nepal",1963,6
"Netherlands",1963,3.19
"New Caledonia",1963,5.22
"New Zealand",1963,3.41
"Nicaragua",1963,7.11
"Niger",1963,7.15
"Nigeria",1963,6.34
"Norway",1963,2.91
"Oman",1963,7.26
"Pakistan",1963,6.6
"Panama",1963,5.77
"Papua New Guinea",1963,6.28
"Paraguay",1963,6.45
"Peru",1963,6.84
"Philippines",1963,6.95
"Poland",1963,2.6
"Portugal",1963,3.19
"Puerto Rico",1963,4.25
"Qatar",1963,6.98
"Romania",1963,2
"Russia",1963,2.28
"Rwanda",1963,8.2
"St. Lucia",1963,6.82
"St. Vincent and the Grenadines",1963,6.98
"Samoa",1963,7.6
"Saudi Arabia",1963,7.25
"Senegal",1963,7.08
"Serbia",1963,2.54
"Seychelles",1963,5.65
"Sierra Leone",1963,6.23
"Singapore",1963,4.97
"Slovak Republic",1963,2.86
"Slovenia",1963,2.34
"Solomon Islands",1963,6.39
"South Africa",1963,6.05
"Spain",1963,2.82
"Sri Lanka",1963,5.18
"Sudan",1963,6.76
"Suriname",1963,6.5
"Swaziland",1963,6.76
"Sweden",1963,2.33
"Switzerland",1963,2.58
"Syria",1963,7.54
"Tajikistan",1963,6.37
"Tanzania",1963,6.8
"Thailand",1963,6.16
"Timor-Leste",1963,6.37
"Togo",1963,6.68
"Tonga",1963,7.23
"Trinidad and Tobago",1963,4.87
"Tunisia",1963,7.13
"Turkey",1963,6.1
"Turkmenistan",1963,6.67
"Uganda",1963,7.06
"Ukraine",1963,2.13
"United Arab Emirates",1963,6.88
"United Kingdom",1963,2.8
"United States",1963,3.35
"Uruguay",1963,2.87
"Uzbekistan",1963,6.79
"Vanuatu",1963,6.94
"Venezuela",1963,6.58
"West Bank and Gaza",1963,7.99
"Vietnam",1963,6.45
"Yemen",1963,7.35
"Zambia",1963,7.18
"Zimbabwe",1963,7.31
"Albania",1964,5.71
"Algeria",1964,7.65
"Angola",1964,7.43
"Antigua and Barbuda",1964,4.25
"Argentina",1964,3.07
"Armenia",1964,4.16
"Aruba",1964,4.06
"Australia",1964,3.15
"Austria",1964,2.8
"Azerbaijan",1964,5.47
"Bahamas",1964,4.22
"Bahrain",1964,7.19
"Bangladesh",1964,6.85
"Barbados",1964,4.09
"Belarus",1964,2.6
"Belgium",1964,2.6
"Belize",1964,6.42
"Benin",1964,6.5
"Bhutan",1964,6.67
"Bolivia",1964,6.61
"Bosnia and Herzegovina",1964,3.62
"Botswana",1964,6.68
"Brazil",1964,5.95
"Brunei",1964,6.23
"Bulgaria",1964,2.18
"Burkina Faso",1964,6.41
"Burundi",1964,7.14
"Cambodia",1964,6.91
"Cameroon",1964,5.89
"Canada",1964,3.51
"Cape Verde",1964,6.99
"Central African Republic",1964,5.93
"Chad",1964,6.32
"Chile",1964,5.19
"China",1964,6.12
"Colombia",1964,6.66
"Comoros",1964,6.98
"Congo, Dem. Rep.",1964,6.07
"Congo, Rep.",1964,6.06
"Costa Rica",1964,6.89
"Cote d'Ivoire",1964,7.64
"Croatia",1964,2.21
"Cuba",1964,4.64
"Cyprus",1964,3.25
"Czech Republic",1964,2.12
"Denmark",1964,2.6
"Djibouti",1964,6.6
"Dominican Republic",1964,7.19
"Ecuador",1964,6.59
"Egypt",1964,6.47
"El Salvador",1964,6.7
"Equatorial Guinea",1964,5.57
"Eritrea",1964,6.78
"Estonia",1964,1.95
"Ethiopia",1964,6.87
"Fiji",1964,5.68
"Finland",1964,2.58
"France",1964,2.8
"French Polynesia",1964,5.37
"Gabon",1964,4.69
"Gambia",1964,5.78
"Georgia",1964,2.86
"Germany",1964,2.49
"Ghana",1964,6.89
"Greece",1964,2.26
"Greenland",1964,7.27
"Grenada",1964,5.91
"Guatemala",1964,6.43
"Guinea",1964,6.13
"Guinea-Bissau",1964,5.32
"Guyana",1964,5.33
"Haiti",1964,6.23
"Honduras",1964,7.44
"Hong Kong, China",1964,4.83
"Hungary",1964,1.88
"Iceland",1964,3.74
"India",1964,5.81
"Indonesia",1964,5.62
"Iran",1964,6.87
"Iraq",1964,6.87
"Ireland",1964,3.99
"Israel",1964,3.82
"Italy",1964,2.5
"Jamaica",1964,5.78
"Japan",1964,1.97
"Jordan",1964,8.03
"Kazakhstan",1964,4.2
"Kenya",1964,8.1
"Kiribati",1964,7.2
"South Korea",1964,5.36
"Kuwait",1964,7.38
"Kyrgyz Republic",1964,5.32
"Lao",1964,5.97
"Latvia",1964,1.82
"Lebanon",1964,5.58
"Lesotho",1964,5.81
"Liberia",1964,6.5
"Libya",1964,7.68
"Lithuania",1964,2.38
"Luxembourg",1964,2.37
"Macao, China",1964,3.93
"Macedonia, FYR",1964,3.45
"Madagascar",1964,7.3
"Malawi",1964,7.06
"Malaysia",1964,5.81
"Maldives",1964,7.18
"Mali",1964,6.79
"Malta",1964,2.8
"Mauritania",1964,6.8
"Mauritius",1964,5.79
"Mexico",1964,6.77
"Micronesia, Fed. Sts.",1964,6.89
"Moldova",1964,2.99
"Mongolia",1964,7.56
"Montenegro",1964,3.09
"Morocco",1964,7.12
"Mozambique",1964,6.6
"Namibia",1964,6.22
"Nepal",1964,6
"Netherlands",1964,3.17
"New Caledonia",1964,5.22
"New Zealand",1964,3.22
"Nicaragua",1964,7.05
"Niger",1964,7.19
"Nigeria",1964,6.34
"Norway",1964,2.96
"Oman",1964,7.26
"Pakistan",1964,6.6
"Panama",1964,5.71
"Papua New Guinea",1964,6.27
"Paraguay",1964,6.41
"Peru",1964,6.8
"Philippines",1964,6.87
"Poland",1964,2.5
"Portugal",1964,3.19
"Puerto Rico",1964,4.08
"Qatar",1964,6.99
"Romania",1964,1.95
"Russia",1964,2.16
"Rwanda",1964,8.2
"St. Lucia",1964,6.76
"St. Vincent and the Grenadines",1964,6.88
"Samoa",1964,7.57
"Saudi Arabia",1964,7.26
"Senegal",1964,7.11
"Serbia",1964,2.52
"Seychelles",1964,5.76
"Sierra Leone",1964,6.3
"Singapore",1964,4.66
"Slovak Republic",1964,2.78
"Slovenia",1964,2.34
"Solomon Islands",1964,6.39
"South Africa",1964,5.98
"Spain",1964,2.83
"Sri Lanka",1964,5.07
"Sudan",1964,6.79
"Suriname",1964,6.41
"Swaziland",1964,6.78
"Sweden",1964,2.48
"Switzerland",1964,2.56
"Syria",1964,7.56
"Tajikistan",1964,6.43
"Tanzania",1964,6.8
"Thailand",1964,6.15
"Timor-Leste",1964,6.35
"Togo",1964,6.73
"Tonga",1964,7.12
"Trinidad and Tobago",1964,4.66
"Tunisia",1964,7.11
"Turkey",1964,6.03
"Turkmenistan",1964,6.66
"Uganda",1964,7.08
"Ukraine",1964,2.07
"United Arab Emirates",1964,6.86
"United Kingdom",1964,2.79
"United States",1964,3.22
"Uruguay",1964,2.86
"Uzbekistan",1964,6.78
"Vanuatu",1964,6.84
"Venezuela",1964,6.5
"West Bank and Gaza",1964,8.04
"Vietnam",1964,6.46
"Yemen",1964,7.39
"Zambia",1964,7.24
"Zimbabwe",1964,7.35
"Albania",1965,5.59
"Algeria",1965,7.66
"Angola",1965,7.43
"Antigua and Barbuda",1965,4.19
"Argentina",1965,3.06
"Armenia",1965,3.98
"Aruba",1965,3.84
"Australia",1965,2.97
"Austria",1965,2.7
"Azerbaijan",1965,5.35
"Bahamas",1965,4.06
"Bahrain",1965,7.17
"Bangladesh",1965,6.88
"Barbados",1965,3.96
"Belarus",1965,2.54
"Belgium",1965,2.56
"Belize",1965,6.4
"Benin",1965,6.54
"Bhutan",1965,6.67
"Bolivia",1965,6.59
"Bosnia and Herzegovina",1965,3.5
"Botswana",1965,6.69
"Brazil",1965,5.82
"Brunei",1965,6.07
"Bulgaria",1965,2.17
"Burkina Faso",1965,6.45
"Burundi",1965,7.18
"Cambodia",1965,6.87
"Cameroon",1965,5.95
"Canada",1965,3.15
"Cape Verde",1965,6.99
"Central African Republic",1965,5.94
"Chad",1965,6.34
"Chile",1965,5
"China",1965,6.02
"Colombia",1965,6.56
"Comoros",1965,7
"Congo, Dem. Rep.",1965,6.09
"Congo, Rep.",1965,6.1
"Costa Rica",1965,6.63
"Cote d'Ivoire",1965,7.7
"Croatia",1965,2.18
"Cuba",1965,4.62
"Cyprus",1965,3.13
"Czech Republic",1965,2.07
"Denmark",1965,2.61
"Djibouti",1965,6.63
"Dominican Republic",1965,7.05
"Ecuador",1965,6.55
"Egypt",1965,6.41
"El Salvador",1965,6.64
"Equatorial Guinea",1965,5.6
"Eritrea",1965,6.75
"Estonia",1965,1.97
"Ethiopia",1965,6.86
"Fiji",1965,5.48
"Finland",1965,2.46
"France",1965,2.77
"French Polynesia",1965,5.31
"Gabon",1965,4.77
"Gambia",1965,5.83
"Georgia",1965,2.8
"Germany",1965,2.48
"Ghana",1965,6.92
"Greece",1965,2.29
"Greenland",1965,6.96
"Grenada",1965,5.6
"Guatemala",1965,6.4
"Guinea",1965,6.14
"Guinea-Bissau",1965,5.14
"Guyana",1965,5.27
"Haiti",1965,6.18
"Honduras",1965,7.44
"Hong Kong, China",1965,4.55
"Hungary",1965,1.89
"Iceland",1965,3.6
"India",1965,5.78
"Indonesia",1965,5.61
"Iran",1965,6.83
"Iraq",1965,7.04
"Ireland",1965,3.95
"Israel",1965,3.81
