"country","year","life_expectancy"
"Moldova",1961,62.61
"Mongolia",1961,50.15
"Montenegro",1961,64.54
"Morocco",1961,50.11
"Mozambique",1961,38.79
"Namibia",1961,47.7
"Nepal",1961,40.26
"Netherlands",1961,73.54
"New Caledonia",1961,57.06
"New Zealand",1961,71
"Nicaragua",1961,51.53
"Niger",1961,36.97
"Nigeria",1961,41
"Norway",1961,73.67
"Oman",1961,45.57
"Pakistan",1961,47.73
"Panama",1961,62.17
"Papua New Guinea",1961,39.2
"Paraguay",1961,66.7
"Peru",1961,49.56
"Philippines",1961,59.17
"Poland",1961,68.04
"Portugal",1961,62.85
"Puerto Rico",1961,68.8
"Qatar",1961,61.57
"Romania",1961,66.7
"Russia",1961,68.85
"Rwanda",1961,43.41
"St. Lucia",1961,57.75
"St. Vincent and the Grenadines",1961,58.96
"Samoa",1961,52.04
"Saudi Arabia",1961,48.22
"Senegal",1961,38.63
"Serbia",1961,63.88
"Seychelles",1961,61.03
"Sierra Leone",1961,36.57
"Singapore",1961,65.41
"Slovak Republic",1961,70.86
"Slovenia",1961,68.82
"Solomon Islands",1961,51.12
"South Africa",1961,49.4
"Spain",1961,69.62
"Sri Lanka",1961,60.18
"Sudan",1961,50.04
"Suriname",1961,61
"Swaziland",1961,45.1
"Sweden",1961,73.47
"Switzerland",1961,71.79
"Syria",1961,53.43
"Tajikistan",1961,57.57
"Tanzania",1961,45.91
"Thailand",1961,56.01
"Timor-Leste",1961,38.45
"Togo",1961,41.74
"Tonga",1961,61.56
"Trinidad and Tobago",1961,63.68
"Tunisia",1961,43.89
"Turkey",1961,47.71
"Turkmenistan",1961,55.36
"Uganda",1961,45.91
"Ukraine",1961,71.15
"United Arab Emirates",1961,52.89
"United Kingdom",1961,70.77
"United States",1961,70.32
"Uruguay",1961,68.19
"Uzbekistan",1961,59.8
"Vanuatu",1961,46.55
"Venezuela",1961,60.69
"West Bank and Gaza",1961,51.43
"Vietnam",1961,59.17
"Yemen",1961,33.58
"Zambia",1961,48.89
"Zimbabwe",1961,53.55
"Albania",1962,64.84
"Algeria",1962,48.55
"Angola",1962,37.08
"Antigua and Barbuda",1962,63.93
"Argentina",1962,65.64
"Armenia",1962,67.82
"Aruba",1962,66.44
"Australia",1962,70.91
"Austria",1962,69.51
"Azerbaijan",1962,62.2
"Bahamas",1962,62.58
"Bahrain",1962,54.33
"Bangladesh",1962,47.28
"Barbados",1962,62.79
"Belarus",1962,71.01
"Belgium",1962,70.19
"Belize",1962,61.2
"Benin",1962,39.32
"Bhutan",1962,37.04
"Bolivia",1962,44.5
"Bosnia and Herzegovina",1962,64.07
"Botswana",1962,51.02
"Brazil",1962,56.27
"Brunei",1962,63.67
"Bulgaria",1962,69.55
"Burkina Faso",1962,36.23
"Burundi",1962,41.13
"Cambodia",1962,42.7
"Cameroon",1962,44.53
"Canada",1962,71.25
"Cape Verde",1962,50.43
"Central African Republic",1962,38.36
"Chad",1962,41.76
"Chile",1962,57.63
"China",1962,43.29
"Colombia",1962,59.18
"Comoros",1962,44.89
"Congo, Dem. Rep.",1962,44.61
"Congo, Rep.",1962,49.47
"Costa Rica",1962,63.13
"Cote d'Ivoire",1962,39.46
"Croatia",1962,65.66
"Cuba",1962,65.09
"Cyprus",1962,70.38
"Czech Republic",1962,70.04
"Denmark",1962,72.43
"Djibouti",1962,46.79
"Dominican Republic",1962,54.97
"Ecuador",1962,55.42
"Egypt",1962,49.43
"El Salvador",1962,53.5
"Equatorial Guinea",1962,38.38
"Eritrea",1962,39.69
"Estonia",1962,69.93
"Ethiopia",1962,38.94
"Fiji",1962,56.54
"Finland",1962,68.78
"France",1962,70.61
"French Polynesia",1962,57.09
"Gabon",1962,39.56
"Gambia",1962,36.68
"Georgia",1962,64.31
"Germany",1962,70.01
"Ghana",1962,47.25
"Greece",1962,69.14
"Greenland",1962,62.22
"Grenada",1962,61.49
"Guatemala",1962,47.76
"Guinea",1962,36.17
"Guinea-Bissau",1962,43.64
"Guyana",1962,59.41
"Haiti",1962,43.26
"Honduras",1962,49.21
"Hong Kong, China",1962,68.55
"Hungary",1962,68
"Iceland",1962,73.82
"India",1962,42.72
"Indonesia",1962,46.65
"Iran",1962,47.22
"Iraq",1962,49.24
"Ireland",1962,70.57
"Israel",1962,69.13
"Italy",1962,69.21
"Jamaica",1962,67.17
"Japan",1962,68.71
"Jordan",1962,54.94
"Kazakhstan",1962,59.85
"Kenya",1962,48.82
"Kiribati",1962,46.64
"South Korea",1962,54.51
"Kuwait",1962,63.77
"Kyrgyz Republic",1962,56.99
"Lao",1962,42.64
"Latvia",1962,69.97
"Lebanon",1962,63.47
"Lesotho",1962,47.97
"Liberia",1962,35.88
"Libya",1962,48
"Lithuania",1962,69.46
"Luxembourg",1962,68.59
"Macao, China",1962,65.9
"Macedonia, FYR",1962,62.11
"Madagascar",1962,43.12
"Malawi",1962,39.02
"Malaysia",1962,61.07
"Maldives",1962,39.64
"Mali",1962,30.08
"Malta",1962,69.02
"Mauritania",1962,45.31
"Mauritius",1962,60.64
"Mexico",1962,58.49
"Micronesia, Fed. Sts.",1962,57.54
"Moldova",1962,62.99
"Mongolia",1962,51.08
"Montenegro",1962,65.21
"Morocco",1962,50.6
"Mozambique",1962,39.4
"Namibia",1962,48.31
"Nepal",1962,40.74
"Netherlands",1962,73.21
"New Caledonia",1962,57.72
"New Zealand",1962,71.26
"Nicaragua",1962,52.36
"Niger",1962,37.1
"Nigeria",1962,41.61
"Norway",1962,73.55
"Oman",1962,46.47
"Pakistan",1962,48.63
"Panama",1962,62.71
"Papua New Guinea",1962,39.87
"Paraguay",1962,67.03
"Peru",1962,50.14
"Philippines",1962,59.53
"Poland",1962,67.71
"Portugal",1962,64.37
"Puerto Rico",1962,69
"Qatar",1962,62.31
"Romania",1962,67.32
"Russia",1962,68.51
"Rwanda",1962,43.74
"St. Lucia",1962,58.47
"St. Vincent and the Grenadines",1962,59.99
"Samoa",1962,52.62
"Saudi Arabia",1962,48.84
"Senegal",1962,38.72
"Serbia",1962,64.44
"Seychelles",1962,61.59
"Sierra Leone",1962,37.06
"Singapore",1962,65.72
"Slovak Republic",1962,70.4
"Slovenia",1962,68.98
"Solomon Islands",1962,51.69
"South Africa",1962,49.78
"Spain",1962,69.65
"Sri Lanka",1962,60.61
"Sudan",1962,50.52
"Suriname",1962,61.41
"Swaziland",1962,45.42
"Sweden",1962,73.34
"Switzerland",1962,71.35
"Syria",1962,53.98
"Tajikistan",1962,58.03
"Tanzania",1962,46.26
"Thailand",1962,56.51
"Timor-Leste",1962,39.15
"Togo",1962,42.42
"Tonga",1962,61.91
"Trinidad and Tobago",1962,64.2
"Tunisia",1962,44.65
"Turkey",1962,48.52
"Turkmenistan",1962,55.82
"Uganda",1962,46.56
"Ukraine",1962,70.56
"United Arab Emirates",1962,53.91
"United Kingdom",1962,70.84
"United States",1962,70.21
"Uruguay",1962,68.39
"Uzbekistan",1962,60.25
"Vanuatu",1962,47.14
"Venezuela",1962,61.3
"West Bank and Gaza",1962,52.08
"Vietnam",1962,59.82
"Yemen",1962,34.52
"Zambia",1962,49.42
"Zimbabwe",1962,53.99
"Albania",1963,65.6
"Algeria",1963,49.07
"Angola",1963,37.63
"Antigua and Barbuda",1963,64.38
"Argentina",1963,65.74
"Armenia",1963,68.3
"Aruba",1963,66.79
"Australia",1963,70.97
"Austria",1963,69.64
"Azerbaijan",1963,62.62
"Bahamas",1963,62.85
"Bahrain",1963,55.64
"Bangladesh",1963,47.81
"Barbados",1963,63.27
"Belarus",1963,71.66
"Belgium",1963,70
"Belize",1963,61.78
"Benin",1963,39.85
"Bhutan",1963,37.57
"Bolivia",1963,44.88
"Bosnia and Herzegovina",1963,64.78
"Botswana",1963,51.35
"Brazil",1963,56.75
"Brunei",1963,64.21
"Bulgaria",1963,70.38
"Burkina Faso",1963,36.75
"Burundi",1963,41.41
"Cambodia",1963,42.95
"Cameroon",1963,45.07
"Canada",1963,71.26
"Cape Verde",1963,50.59
"Central African Republic",1963,38.85
"Chad",1963,42.17
"Chile",1963,58.07
"China",1963,50.64
"Colombia",1963,59.71
"Comoros",1963,45.32
"Congo, Dem. Rep.",1963,44.98
"Congo, Rep.",1963,50.04
"Costa Rica",1963,63.7
"Cote d'Ivoire",1963,40.17
"Croatia",1963,66.05
"Cuba",1963,65.71
"Cyprus",1963,70.71
"Czech Republic",1963,70.56
"Denmark",1963,72.52
"Djibouti",1963,47.3
"Dominican Republic",1963,55.75
"Ecuador",1963,56.01
"Egypt",1963,49.94
"El Salvador",1963,54.18
"Equatorial Guinea",1963,38.73
"Eritrea",1963,40.04
"Estonia",1963,69.99
"Ethiopia",1963,39.49
"Fiji",1963,56.94
"Finland",1963,69.19
"France",1963,70.46
"French Polynesia",1963,57.47
"Gabon",1963,40.07
"Gambia",1963,37.26
"Georgia",1963,64.71
"Germany",1963,70.1
"Ghana",1963,47.66
"Greece",1963,69.44
"Greenland",1963,62.59
"Grenada",1963,61.93
"Guatemala",1963,48.4
"Guinea",1963,36.37
"Guinea-Bissau",1963,43.89
"Guyana",1963,59.58
"Haiti",1963,43.82
"Honduras",1963,49.94
"Hong Kong, China",1963,69.05
"Hungary",1963,69.02
"Iceland",1963,73.13
"India",1963,43.46
"Indonesia",1963,47.45
"Iran",1963,47.83
"Iraq",1963,50.36
"Ireland",1963,70.85
"Israel",1963,69.41
"Italy",1963,69.32
"Jamaica",1963,67.74
"Japan",1963,69.79
"Jordan",1963,55.75
"Kazakhstan",1963,60.31
"Kenya",1963,49.48
"Kiribati",1963,47.03
"South Korea",1963,55.27
"Kuwait",1963,64.53
"Kyrgyz Republic",1963,57.44
"Lao",1963,42.89
"Latvia",1963,70.36
"Lebanon",1963,63.74
"Lesotho",1963,48.32
"Liberia",1963,36.28
"Libya",1963,49.69
"Lithuania",1963,70.64
"Luxembourg",1963,68.8
"Macao, China",1963,66.36
"Macedonia, FYR",1963,62.72
"Madagascar",1963,43.7
"Malawi",1963,39.25
"Malaysia",1963,61.63
"Maldives",1963,40.54
"Mali",1963,30.4
"Malta",1963,69.37
"Mauritania",1963,45.96
"Mauritius",1963,61.38
"Mexico",1963,58.96
"Micronesia, Fed. Sts.",1963,57.9
"Moldova",1963,63.38
"Mongolia",1963,51.94
"Montenegro",1963,65.86
"Morocco",1963,51.09
"Mozambique",1963,39.98
"Namibia",1963,48.9
"Nepal",1963,41.21
"Netherlands",1963,73.33
"New Caledonia",1963,58.36
"New Zealand",1963,71.33
"Nicaragua",1963,53.19
"Niger",1963,37.24
"Nigeria",1963,42.19
"Norway",1963,73.2
"Oman",1963,47.37
"Pakistan",1963,49.47
"Panama",1963,63.22
"Papua New Guinea",1963,40.6
"Paraguay",1963,67.33
"Peru",1963,50.7
"Philippines",1963,59.87
"Poland",1963,68.64
"Portugal",1963,65
"Puerto Rico",1963,69.21
"Qatar",1963,63.06
"Romania",1963,67.74
"Russia",1963,68.98
"Rwanda",1963,44.05
"St. Lucia",1963,59.11
"St. Vincent and the Grenadines",1963,60.93
"Samoa",1963,53.21
"Saudi Arabia",1963,49.48
"Senegal",1963,38.76
"Serbia",1963,64.99
"Seychelles",1963,62.08
"Sierra Leone",1963,37.57
"Singapore",1963,65.97
"Slovak Republic",1963,70.79
"Slovenia",1963,69.08
"Solomon Islands",1963,52.27
"South Africa",1963,50.14
"Spain",1963,69.81
"Sri Lanka",1963,61.06
"Sudan",1963,50.99
"Suriname",1963,61.81
"Swaziland",1963,45.73
"Sweden",1963,73.53
"Switzerland",1963,71.34
"Syria",1963,54.56
"Tajikistan",1963,58.51
"Tanzania",1963,46.62
"Thailand",1963,56.98
"Timor-Leste",1963,39.85
"Togo",1963,43.1
"Tonga",1963,62.26
"Trinidad and Tobago",1963,64.63
"Tunisia",1963,45.47
"Turkey",1963,49.35
"Turkmenistan",1963,56.27
"Uganda",1963,47.22
"Ukraine",1963,71.18
"United Arab Emirates",1963,54.91
"United Kingdom",1963,70.74
"United States",1963,70.04
"Uruguay",1963,68.55
"Uzbekistan",1963,60.7
"Vanuatu",1963,47.71
"Venezuela",1963,61.91
"West Bank and Gaza",1963,52.75
"Vietnam",1963,60.42
"Yemen",1963,35.45
"Zambia",1963,49.94
"Zimbabwe",1963,54.42
"Albania",1964,66.18
"Algeria",1964,49.58
"Angola",1964,38.18
"Antigua and Barbuda",1964,64.81
"Argentina",1964,65.84
"Armenia",1964,68.78
"Aruba",1964,67.11
"Australia",1964,70.63
"Austria",1964,70.13
"Azerbaijan",1964,63.06
"Bahamas",1964,63.13
"Bahrain",1964,56.9
"Bangladesh",1964,48.29
"Barbados",1964,63.74
"Belarus",1964,73.17
"Belgium",1964,70.66
"Belize",1964,62.36
"Benin",1964,40.38
"Bhutan",1964,38.12
"Bolivia",1964,45.24
"Bosnia and Herzegovina",1964,65.46
"Botswana",1964,51.67
"Brazil",1964,57.21
"Brunei",1964,64.72
"Bulgaria",1964,71.18
"Burkina Faso",1964,37.27
"Burundi",1964,41.69
"Cambodia",1964,43.2
"Cameroon",1964,45.59
"Canada",1964,71.64
"Cape Verde",1964,50.77
"Central African Republic",1964,39.36
"Chad",1964,42.58
"Chile",1964,58.54
"China",1964,52
"Colombia",1964,60.21
"Comoros",1964,45.75
"Congo, Dem. Rep.",1964,45.36
"Congo, Rep.",1964,50.55
"Costa Rica",1964,64.26
"Cote d'Ivoire",1964,40.84
"Croatia",1964,66.43
"Cuba",1964,66.35
"Cyprus",1964,71.02
"Czech Republic",1964,70.73
"Denmark",1964,72.61
"Djibouti",1964,47.8
"Dominican Republic",1964,56.52
"Ecuador",1964,56.53
"Egypt",1964,50.42
"El Salvador",1964,54.81
"Equatorial Guinea",1964,39.08
"Eritrea",1964,40.41
"Estonia",1964,70.74
"Ethiopia",1964,39.36
"Fiji",1964,57.35
"Finland",1964,69.4
"France",1964,71.43
"French Polynesia",1964,57.85
"Gabon",1964,40.7
"Gambia",1964,37.91
"Georgia",1964,65.11
"Germany",1964,70.66
"Ghana",1964,48.07
"Greece",1964,69.69
"Greenland",1964,62.97
"Grenada",1964,62.35
"Guatemala",1964,49.05
"Guinea",1964,36.57
"Guinea-Bissau",1964,44.15
"Guyana",1964,59.75
"Haiti",1964,44.38
"Honduras",1964,50.65
"Hong Kong, China",1964,69.52
"Hungary",1964,69.52
"Iceland",1964,73.72
"India",1964,44.23
"Indonesia",1964,48.24
"Iran",1964,48.43
"Iraq",1964,51.46
"Ireland",1964,71.12
"Israel",1964,69.68
"Italy",1964,70.37
"Jamaica",1964,68.25
"Japan",1964,70.26
"Jordan",1964,56.55
"Kazakhstan",1964,60.79
"Kenya",1964,50.13
"Kiribati",1964,47.44
"South Korea",1964,56.04
"Kuwait",1964,65.24
"Kyrgyz Republic",1964,57.9
"Lao",1964,43.13
"Latvia",1964,71.62
"Lebanon",1964,64
"Lesotho",1964,48.59
"Liberia",1964,36.73
"Libya",1964,51.28
"Lithuania",1964,72
"Luxembourg",1964,68.98
"Macao, China",1964,66.81
"Macedonia, FYR",1964,63.32
"Madagascar",1964,44.28
"Malawi",1964,39.49
"Malaysia",1964,62.17
"Maldives",1964,41.48
"Mali",1964,30.79
"Malta",1964,69.7
"Mauritania",1964,46.59
"Mauritius",1964,61.97
"Mexico",1964,59.4
"Micronesia, Fed. Sts.",1964,58.26
"Moldova",1964,63.77
"Mongolia",1964,52.74
"Montenegro",1964,66.47
"Morocco",1964,51.58
"Mozambique",1964,40.54
"Namibia",1964,49.48
"Nepal",1964,41.67
"Netherlands",1964,73.71
"New Caledonia",1964,58.99
"New Zealand",1964,71.37
"Nicaragua",1964,54.04
"Niger",1964,37.36
"Nigeria",1964,42.75
"Norway",1964,73.7
"Oman",1964,48.26
"Pakistan",1964,50.27
"Panama",1964,63.72
"Papua New Guinea",1964,41.39
"Paraguay",1964,67.61
"Peru",1964,51.25
"Philippines",1964,60.21
"Poland",1964,68.87
"Portugal",1964,65.22
"Puerto Rico",1964,69.45
"Qatar",1964,63.79
"Romania",1964,67.96
"Russia",1964,69.77
"Rwanda",1964,44.35
"St. Lucia",1964,59.66
"St. Vincent and the Grenadines",1964,61.75
"Samoa",1964,53.8
"Saudi Arabia",1964,50.15
"Senegal",1964,38.74
"Serbia",1964,65.53
"Seychelles",1964,62.47
"Sierra Leone",1964,38.1
"Singapore",1964,66.16
"Slovak Republic",1964,71.17
"Slovenia",1964,69.12
"Solomon Islands",1964,52.84
"South Africa",1964,50.52
"Spain",1964,70.54
"Sri Lanka",1964,61.55
"Sudan",1964,51.47
"Suriname",1964,62.23
"Swaziland",1964,46.05
"Sweden",1964,73.7
"Switzerland",1964,72.23
"Syria",1964,55.15
"Tajikistan",1964,58.98
"Tanzania",1964,46.99
"Thailand",1964,57.4
"Timor-Leste",1964,40.55
"Togo",1964,43.77
"Tonga",1964,62.6
"Trinidad and Tobago",1964,64.94
"Tunisia",1964,46.35
"Turkey",1964,50.15
"Turkmenistan",1964,56.72
"Uganda",1964,47.86
"Ukraine",1964,71.97
"United Arab Emirates",1964,55.9
"United Kingdom",1964,71.53
"United States",1964,70.33
"Uruguay",1964,68.67
"Uzbekistan",1964,61.15
"Vanuatu",1964,48.29
"Venezuela",1964,62.51
"West Bank and Gaza",1964,53.47
"Vietnam",1964,60.95
"Yemen",1964,36.37
"Zambia",1964,50.44
"Zimbabwe",1964,54.83
"Albania",1965,66.59
"Algeria",1965,50.09
"Angola",1965,38.74
"Antigua and Barbuda",1965,65.23
"Argentina",1965,65.95
"Armenia",1965,69.26
"Aruba",1965,67.44
"Australia",1965,70.96
"Austria",1965,69.92
"Azerbaijan",1965,63.49
"Bahamas",1965,63.4
"Bahrain",1965,58.1
"Bangladesh",1965,48.6
"Barbados",1965,64.2
"Belarus",1965,72.7
"Belgium",1965,70.51
"Belize",1965,62.95
"Benin",1965,40.93
"Bhutan",1965,38.68
"Bolivia",1965,45.62
"Bosnia and Herzegovina",1965,66.14
"Botswana",1965,52
"Brazil",1965,57.66
"Brunei",1965,65.21
"Bulgaria",1965,71.35
"Burkina Faso",1965,37.8
"Burundi",1965,41.95
"Cambodia",1965,43.45
"Cameroon",1965,46.13
"Canada",1965,71.74
"Cape Verde",1965,51
"Central African Republic",1965,39.92
"Chad",1965,43.01
"Chile",1965,59.03
"China",1965,54.28
"Colombia",1965,60.7
"Comoros",1965,46.18
"Congo, Dem. Rep.",1965,45.77
"Congo, Rep.",1965,51.02
"Costa Rica",1965,64.8
"Cote d'Ivoire",1965,41.51
"Croatia",1965,66.8
"Cuba",1965,66.99
"Cyprus",1965,71.33
"Czech Republic",1965,70.43
"Denmark",1965,72.49
"Djibouti",1965,48.33
"Dominican Republic",1965,57.28
"Ecuador",1965,57.02
"Egypt",1965,50.88
"El Salvador",1965,55.4
"Equatorial Guinea",1965,39.44
"Eritrea",1965,40.81
"Estonia",1965,70.81
"Ethiopia",1965,38.13
"Fiji",1965,57.75
"Finland",1965,69.16
"France",1965,71.26
"French Polynesia",1965,58.24
"Gabon",1965,41.42
"Gambia",1965,38.66
"Georgia",1965,65.52
"Germany",1965,70.65
"Ghana",1965,48.44
"Greece",1965,69.91
"Greenland",1965,63.34
"Grenada",1965,62.76
"Guatemala",1965,49.73
"Guinea",1965,36.77
"Guinea-Bissau",1965,44.39
"Guyana",1965,59.92
"Haiti",1965,44.93
"Honduras",1965,51.35
"Hong Kong, China",1965,69.96
"Hungary",1965,69.22
"Iceland",1965,74
"India",1965,44.98
"Indonesia",1965,43.77
"Iran",1965,49.04
"Iraq",1965,52.52
"Ireland",1965,71.35
"Israel",1965,69.93
"Italy",1965,70.24
