"country","year","population"
"Papua New Guinea",1960,1966957
"Paraguay",1960,1902871
"Peru",1960,10061519
"Philippines",1960,26273023
"Poland",1960,29716363
"Portugal",1960,8875311
"Puerto Rico",1960,2355570
"Qatar",1960,47309
"Romania",1960,18613835
"Russia",1960,119860289
"Rwanda",1960,2933424
"St. Lucia",1960,89901
"St. Vincent and the Grenadines",1960,80948
"Samoa",1960,108645
"Saudi Arabia",1960,4086539
"Senegal",1960,3177560
"Serbia",1960,7556730
"Seychelles",1960,41538
"Sierra Leone",1960,2181701
"Singapore",1960,1633718
"Slovak Republic",1960,4137224
"Slovenia",1960,1586632
"Solomon Islands",1960,117869
"South Africa",1960,17396367
"Spain",1960,30450994
"Sri Lanka",1960,9896172
"Sudan",1960,7527450
"Suriname",1960,289972
"Swaziland",1960,349233
"Sweden",1960,7479602
"Switzerland",1960,5296120
"Syria",1960,4592777
"Tajikistan",1960,2064035
"Tanzania",1960,10074490
"Thailand",1960,27397178
"Timor-Leste",1960,499525
"Togo",1960,1580513
"Tonga",1960,61600
"Trinidad and Tobago",1960,848481
"Tunisia",1960,4176266
"Turkey",1960,27553280
"Turkmenistan",1960,1593501
"Uganda",1960,6788211
"Ukraine",1960,42662150
"United Arab Emirates",1960,92612
"United Kingdom",1960,52410496
"United States",1960,186176524
"Uruguay",1960,2538651
"Uzbekistan",1960,8789492
"Vanuatu",1960,63701
"Venezuela",1960,8146845
"West Bank and Gaza",1960,1069399
"Vietnam",1960,32670623
"Yemen",1960,5166311
"Zambia",1960,3049586
"Zimbabwe",1960,3752390
"Albania",1961,1685901
"Algeria",1961,11404859
"Angola",1961,5367287
"Antigua and Barbuda",1961,55403
"Argentina",1961,20953079
"Armenia",1961,1934239
"Aruba",1961,55435
"Australia",1961,10494911
"Austria",1961,7105654
"Azerbaijan",1961,4030130
"Bahamas",1961,115108
"Bahrain",1961,167924
"Bangladesh",1961,49593610
"Barbados",1961,231674
"Belarus",1961,8274486
"Belgium",1961,9200393
"Belize",1961,94701
"Benin",1961,2466002
"Bhutan",1961,229297
"Bolivia",1961,3764815
"Bosnia and Herzegovina",1961,3277096
"Botswana",1961,536576
"Brazil",1961,74706888
"Brunei",1961,85687
"Bulgaria",1961,7935058
"Burkina Faso",1961,4894578
"Burundi",1961,2840375
"Cambodia",1961,5872247
"Cameroon",1961,5474509
"Canada",1961,18295922
"Cape Verde",1961,205958
"Central African Republic",1961,1529229
"Chad",1961,3061423
"Chile",1961,7873504
"China",1961,654625069
"Colombia",1961,16982313
"Comoros",1961,191828
"Congo, Dem. Rep.",1961,15637715
"Congo, Rep.",1961,1039966
"Costa Rica",1961,1381920
"Cote d'Ivoire",1961,3602075
"Croatia",1961,4222502
"Cuba",1961,7289828
"Cyprus",1961,576395
"Czech Republic",1961,9626727
"Denmark",1961,4613769
"Djibouti",1961,88499
"Dominican Republic",1961,3406299
"Ecuador",1961,4676858
"Egypt",1961,27810001
"El Salvador",1961,2843246
"Equatorial Guinea",1961,255100
"Eritrea",1961,1441297
"Estonia",1961,1230521
"Ethiopia",1961,22671131
"Fiji",1961,407152
"Finland",1961,4463432
"France",1961,46471083
"French Polynesia",1961,80706
"Gabon",1961,504174
"Gambia",1961,376736
"Georgia",1961,4225733
"Germany",1961,73686490
"Ghana",1961,6866545
"Greece",1961,8366020
"Greenland",1961,32474
"Grenada",1961,91260
"Guatemala",1961,4240084
"Guinea",1961,3633778
"Guinea-Bissau",1961,623413
"Guyana",1961,582034
"Haiti",1961,3943363
"Honduras",1961,2069085
"Hong Kong, China",1961,3227426
"Hungary",1961,10031496
"Iceland",1961,179106
"India",1961,458691457
"Indonesia",1961,90138235
"Iran",1961,22480420
"Iraq",1961,7475354
"Ireland",1961,2816832
"Israel",1961,2174271
"Italy",1961,50067464
"Jamaica",1961,1654461
"Japan",1961,93357259
"Jordan",1961,927850
"Kazakhstan",1961,10411040
"Kenya",1961,8361442
"Kiribati",1961,42261
"South Korea",1961,25808542
"Kuwait",1961,294639
"Kyrgyz Republic",1961,2245062
"Lao",1961,2169287
"Latvia",1961,2158546
"Lebanon",1961,1864605
"Lesotho",1961,866253
"Liberia",1961,1144896
"Libya",1961,1483856
"Lithuania",1961,2807763
"Luxembourg",1961,317442
"Macao, China",1961,175135
"Macedonia, FYR",1961,1507653
"Madagascar",1961,5223621
"Malawi",1961,3700032
"Malaysia",1961,8429369
"Maldives",1961,92327
"Mali",1961,5322267
"Malta",1961,311702
"Mauritania",1961,883223
"Mauritius",1961,679045
"Mexico",1961,39394125
"Micronesia, Fed. Sts.",1961,45956
"Moldova",1961,3075927
"Mongolia",1961,982180
"Montenegro",1961,498128
"Morocco",1961,12713043
"Mozambique",1961,7643290
"Namibia",1961,617282
"Nepal",1961,10215153
"Netherlands",1961,11576024
"New Caledonia",1961,80585
"New Zealand",1961,2423769
"Nicaragua",1961,1830400
"Niger",1961,3493636
"Nigeria",1961,46144154
"Norway",1961,3610710
"Oman",1961,564895
"Pakistan",1961,45988447
"Panama",1961,1167041
"Papua New Guinea",1961,2001048
"Paraguay",1961,1953331
"Peru",1961,10350239
"Philippines",1961,27164618
"Poland",1961,30138099
"Portugal",1961,8899331
"Puerto Rico",1961,2395612
"Qatar",1961,51355
"Romania",1961,18780105
"Russia",1961,121390327
"Rwanda",1961,2996091
"St. Lucia",1961,90913
"St. Vincent and the Grenadines",1961,82144
"Samoa",1961,112121
"Saudi Arabia",1961,4218879
"Senegal",1961,3265558
"Serbia",1961,7613356
"Seychelles",1961,42402
"Sierra Leone",1961,2210169
"Singapore",1961,1690353
"Slovak Republic",1961,4193035
"Slovenia",1961,1596554
"Solomon Islands",1961,121403
"South Africa",1961,17850045
"Spain",1961,30777097
"Sri Lanka",1961,10129134
"Sudan",1961,7749884
"Suriname",1961,298190
"Swaziland",1961,357522
"Sweden",1961,7527081
"Switzerland",1961,5393411
"Syria",1961,4742596
"Tajikistan",1961,2140413
"Tanzania",1961,10373380
"Thailand",1961,28224208
"Timor-Leste",1961,508311
"Togo",1961,1597528
"Tonga",1961,63740
"Trinidad and Tobago",1961,865356
"Tunisia",1961,4235936
"Turkey",1961,28229291
"Turkmenistan",1961,1649914
"Uganda",1961,7006629
"Ukraine",1961,43203635
"United Arab Emirates",1961,100985
"United Kingdom",1961,52765864
"United States",1961,189077076
"Uruguay",1961,2571691
"Uzbekistan",1961,9044671
"Vanuatu",1961,65708
"Venezuela",1961,8461684
"West Bank and Gaza",1961,1096903
"Vietnam",1961,33666768
"Yemen",1961,5251663
"Zambia",1961,3142848
"Zimbabwe",1961,3876638
"Albania",1962,1737645
"Algeria",1962,11690152
"Angola",1962,5465905
"Antigua and Barbuda",1962,56311
"Argentina",1962,21287682
"Armenia",1962,2002170
"Aruba",1962,56226
"Australia",1962,10691220
"Austria",1962,7151077
"Azerbaijan",1962,4167558
"Bahamas",1962,121083
"Bahrain",1962,173107
"Bangladesh",1962,51030604
"Barbados",1962,232584
"Belarus",1962,8356956
"Belgium",1962,9261828
"Belize",1962,97389
"Benin",1962,2503232
"Bhutan",1962,234703
"Bolivia",1962,3838096
"Bosnia and Herzegovina",1962,3341809
"Botswana",1962,549990
"Brazil",1962,77007549
"Brunei",1962,89603
"Bulgaria",1962,8004367
"Burkina Faso",1962,4960325
"Burundi",1962,2894510
"Cambodia",1962,6026696
"Cameroon",1962,5593768
"Canada",1962,18659663
"Cape Verde",1962,210866
"Central African Republic",1962,1556656
"Chad",1962,3122357
"Chile",1962,8054166
"China",1962,665426760
"Colombia",1962,17500166
"Comoros",1962,194960
"Congo, Dem. Rep.",1962,16041247
"Congo, Rep.",1962,1067611
"Costa Rica",1962,1432583
"Cote d'Ivoire",1962,3740503
"Croatia",1962,4251421
"Cuba",1962,7450404
"Cyprus",1962,577691
"Czech Republic",1962,9679416
"Denmark",1962,4649179
"Djibouti",1962,94200
"Dominican Republic",1962,3521276
"Ecuador",1962,4812892
"Egypt",1962,28560741
"El Salvador",1962,2927861
"Equatorial Guinea",1962,257940
"Eritrea",1962,1476321
"Estonia",1962,1245098
"Ethiopia",1962,23221331
"Fiji",1962,421576
"Finland",1962,4494623
"France",1962,47121575
"French Polynesia",1962,83654
"Gabon",1962,509806
"Gambia",1962,383525
"Georgia",1962,4292101
"Germany",1962,74238494
"Ghana",1962,7085463
"Greece",1962,8412059
"Greenland",1962,33730
"Grenada",1962,92424
"Guatemala",1962,4356579
"Guinea",1962,3690960
"Guinea-Bissau",1962,629973
"Guyana",1962,600559
"Haiti",1962,4022596
"Honduras",1962,2139208
"Hong Kong, China",1962,3391625
"Hungary",1962,10064667
"Iceland",1962,182640
"India",1962,468054145
"Indonesia",1962,92558006
"Iran",1962,23071426
"Iraq",1962,7674220
"Ireland",1962,2821742
"Israel",1962,2264304
"Italy",1962,50458277
"Jamaica",1962,1681222
"Japan",1962,94263646
"Jordan",1962,962783
"Kazakhstan",1962,10819503
"Kenya",1962,8628973
"Kiribati",1962,43312
"South Korea",1962,26495107
"Kuwait",1962,335161
"Kyrgyz Republic",1962,2323642
"Lao",1962,2219964
"Latvia",1962,2185016
"Lebanon",1962,1925276
"Lesotho",1962,881910
"Liberia",1962,1170267
"Libya",1962,1536196
"Lithuania",1962,2847221
"Luxembourg",1962,320704
"Macao, China",1962,181025
"Macedonia, FYR",1962,1527105
"Madagascar",1962,5352674
"Malawi",1962,3784444
"Malaysia",1962,8710678
"Maldives",1962,94909
"Mali",1962,5381369
"Malta",1962,310325
"Mauritania",1962,909172
"Mauritius",1962,698307
"Mexico",1962,40649590
"Micronesia, Fed. Sts.",1962,47387
"Moldova",1962,3145546
"Mongolia",1962,1011328
"Montenegro",1962,509708
"Morocco",1962,13100843
"Mozambique",1962,7799396
"Namibia",1962,632658
"Nepal",1962,10377061
"Netherlands",1962,11735896
"New Caledonia",1962,83221
"New Zealand",1962,2477328
"Nicaragua",1962,1886560
"Niger",1962,3596613
"Nigeria",1962,47117859
"Norway",1962,3638791
"Oman",1962,578825
"Pakistan",1962,47122931
"Panama",1962,1202372
"Papua New Guinea",1962,2037165
"Paraguay",1962,2005337
"Peru",1962,10650672
"Philippines",1962,28081234
"Poland",1962,30530513
"Portugal",1962,8917020
"Puerto Rico",1962,2442157
"Qatar",1962,56187
"Romania",1962,18924068
"Russia",1962,122842753
"Rwanda",1962,3050596
"St. Lucia",1962,92086
"St. Vincent and the Grenadines",1962,83206
"Samoa",1962,115786
"Saudi Arabia",1962,4362863
"Senegal",1962,3356421
"Serbia",1962,7669610
"Seychelles",1962,43409
"Sierra Leone",1962,2239581
"Singapore",1962,1742472
"Slovak Republic",1962,4245726
"Slovenia",1962,1605645
"Solomon Islands",1962,125068
"South Africa",1962,18322335
"Spain",1962,31122390
"Sri Lanka",1962,10366190
"Sudan",1962,7981797
"Suriname",1962,306330
"Swaziland",1962,365719
"Sweden",1962,7576192
"Switzerland",1962,5503000
"Syria",1962,4897428
"Tajikistan",1962,2223956
"Tanzania",1962,10683888
"Thailand",1962,29081037
"Timor-Leste",1962,517446
"Togo",1962,1612758
"Tonga",1962,66255
"Trinidad and Tobago",1962,880019
"Tunisia",1962,4303130
"Turkey",1962,28909985
"Turkmenistan",1962,1708711
"Uganda",1962,7240155
"Ukraine",1962,43749469
"United Arab Emirates",1962,112240
"United Kingdom",1962,53146634
"United States",1962,191860710
"Uruguay",1962,2603887
"Uzbekistan",1962,9319510
"Vanuatu",1962,67806
"Venezuela",1962,8790590
"West Bank and Gaza",1962,1128809
"Vietnam",1962,34684164
"Yemen",1962,5339285
"Zambia",1962,3240664
"Zimbabwe",1962,4006262
"Albania",1963,1790533
"Algeria",1963,11985130
"Angola",1963,5565808
"Antigua and Barbuda",1963,57368
"Argentina",1963,21621845
"Armenia",1963,2070427
"Aruba",1963,56697
"Australia",1963,10892700
"Austria",1963,7199962
"Azerbaijan",1963,4307315
"Bahamas",1963,127331
"Bahrain",1963,178048
"Bangladesh",1963,52532595
"Barbados",1963,233587
"Belarus",1963,8438535
"Belgium",1963,9323467
"Belize",1963,100166
"Benin",1963,2543335
"Bhutan",1963,240364
"Bolivia",1963,3913397
"Bosnia and Herzegovina",1963,3406466
"Botswana",1963,564316
"Brazil",1963,79368453
"Brunei",1963,93650
"Bulgaria",1963,8073469
"Burkina Faso",1963,5027818
"Burundi",1963,2950903
"Cambodia",1963,6181137
"Cameroon",1963,5719135
"Canada",1963,19007305
"Cape Verde",1963,216913
"Central African Republic",1963,1585765
"Chad",1963,3184775
"Chile",1963,8237555
"China",1963,677332765
"Colombia",1963,18033548
"Comoros",1963,198205
"Congo, Dem. Rep.",1963,16461914
"Congo, Rep.",1963,1096502
"Costa Rica",1963,1484512
"Cote d'Ivoire",1963,3889859
"Croatia",1963,4279058
"Cuba",1963,7618359
"Cyprus",1963,577912
"Czech Republic",1963,9730996
"Denmark",1963,4686155
"Djibouti",1963,100622
"Dominican Republic",1963,3638628
"Ecuador",1963,4953735
"Egypt",1963,29322709
"El Salvador",1963,3015885
"Equatorial Guinea",1963,260990
"Eritrea",1963,1512671
"Estonia",1963,1260239
"Ethiopia",1963,23798378
"Fiji",1963,436208
"Finland",1963,4522727
"France",1963,47781535
"French Polynesia",1963,86839
"Gabon",1963,516270
"Gambia",1963,389070
"Georgia",1963,4357379
"Germany",1963,74820389
"Ghana",1963,7303432
"Greece",1963,8452617
"Greenland",1963,35038
"Grenada",1963,93354
"Guatemala",1963,4476923
"Guinea",1963,3749920
"Guinea-Bissau",1963,636593
"Guyana",1963,618887
"Haiti",1963,4103732
"Honduras",1963,2211144
"Hong Kong, China",1963,3554025
"Hungary",1963,10099999
"Iceland",1963,186056
"India",1963,477729958
"Indonesia",1963,95055669
"Iran",1963,23680433
"Iraq",1963,7888914
"Ireland",1963,2831911
"Israel",1963,2355929
"Italy",1963,50872976
"Jamaica",1963,1709690
"Japan",1963,95227653
"Jordan",1963,1000506
"Kazakhstan",1963,11211938
"Kenya",1963,8908425
"Kiribati",1963,44372
"South Korea",1963,27143075
"Kuwait",1963,381665
"Kyrgyz Republic",1963,2406263
"Lao",1963,2272078
"Latvia",1963,2211297
"Lebanon",1963,1984982
"Lesotho",1963,898342
"Liberia",1963,1196588
"Libya",1963,1592111
"Lithuania",1963,2887887
"Luxembourg",1963,324127
"Macao, China",1963,188703
"Macedonia, FYR",1963,1547445
"Madagascar",1963,5486593
"Malawi",1963,3872124
"Malaysia",1963,8999247
"Maldives",1963,97556
"Mali",1963,5441611
"Malta",1963,308815
"Mauritania",1963,936014
"Mauritius",1963,717413
"Mexico",1963,41939880
"Micronesia, Fed. Sts.",1963,48875
"Moldova",1963,3212094
"Mongolia",1963,1042383
"Montenegro",1963,520714
"Morocco",1963,13488517
"Mozambique",1963,7961458
"Namibia",1963,648668
"Nepal",1963,10544586
"Netherlands",1963,11896942
"New Caledonia",1963,85908
"New Zealand",1963,2530791
"Nicaragua",1963,1943591
"Niger",1963,3703159
"Nigeria",1963,48128460
"Norway",1963,3666690
"Oman",1963,593504
"Pakistan",1963,48312888
"Panama",1963,1238824
"Papua New Guinea",1963,2075630
"Paraguay",1963,2058916
"Peru",1963,10961539
"Philippines",1963,29016770
"Poland",1963,30893775
"Portugal",1963,8924221
"Puerto Rico",1963,2491284
"Qatar",1963,61647
"Romania",1963,19059874
"Russia",1963,124193114
"Rwanda",1963,3102968
"St. Lucia",1963,93397
"St. Vincent and the Grenadines",1963,84167
"Samoa",1963,119564
"Saudi Arabia",1963,4516663
"Senegal",1963,3450418
"Serbia",1963,7725501
"Seychelles",1963,44515
"Sierra Leone",1963,2269890
"Singapore",1963,1790682
"Slovak Republic",1963,4294673
"Slovenia",1963,1614022
"Solomon Islands",1963,128863
"South Africa",1963,18809939
"Spain",1963,31479529
"Sri Lanka",1963,10608672
"Sudan",1963,8223613
"Suriname",1963,314530
"Swaziland",1963,373991
"Sweden",1963,7627722
"Switzerland",1963,5618160
"Syria",1963,5057825
"Tajikistan",1963,2312193
"Tanzania",1963,11005882
"Thailand",1963,29967043
"Timor-Leste",1963,526936
"Togo",1963,1631763
"Tonga",1963,69000
"Trinidad and Tobago",1963,892571
"Tunisia",1963,4377636
"Turkey",1963,29597047
"Turkmenistan",1963,1769008
"Uganda",1963,7487411
"Ukraine",1963,44285897
"United Arab Emirates",1963,125216
"United Kingdom",1963,53537821
"United States",1963,194513911
"Uruguay",1963,2635128
"Uzbekistan",1963,9611601
"Vanuatu",1963,69962
"Venezuela",1963,9130346
"West Bank and Gaza",1963,1159693
"Vietnam",1963,35722092
"Yemen",1963,5429501
"Zambia",1963,3342894
"Zimbabwe",1963,4140804
"Albania",1964,1843596
"Algeria",1964,12295973
"Angola",1964,5665701
"Antigua and Barbuda",1964,58500
"Argentina",1964,21953926
"Armenia",1964,2138133
"Aruba",1964,57029
"Australia",1964,11114995
"Austria",1964,7249855
"Azerbaijan",1964,4445653
"Bahamas",1964,133697
"Bahrain",1964,182774
"Bangladesh",1964,54129390
"Barbados",1964,234547
"Belarus",1964,8521433
"Belgium",1964,9383443
"Belize",1964,103070
"Benin",1964,2586362
"Bhutan",1964,246324
"Bolivia",1964,3990855
"Bosnia and Herzegovina",1964,3468083
"Botswana",1964,579560
"Brazil",1964,81751802
"Brunei",1964,97933
"Bulgaria",1964,8141171
"Burkina Faso",1964,5098892
"Burundi",1964,3011957
"Cambodia",1964,6329411
"Cameroon",1964,5850454
"Canada",1964,19349346
"Cape Verde",1964,223854
"Central African Republic",1964,1616515
"Chad",1964,3247798
"Chile",1964,8423614
"China",1964,690932043
"Colombia",1964,18581972
"Comoros",1964,201665
"Congo, Dem. Rep.",1964,16903899
"Congo, Rep.",1964,1126602
"Costa Rica",1964,1537035
"Cote d'Ivoire",1964,4049675
"Croatia",1964,4304984
"Cuba",1964,7787149
"Cyprus",1964,578629
"Czech Republic",1964,9773266
"Denmark",1964,4723496
"Djibouti",1964,107584
"Dominican Republic",1964,3757962
"Ecuador",1964,5099470
"Egypt",1964,30094082
"El Salvador",1964,3106186
"Equatorial Guinea",1964,264743
"Eritrea",1964,1550297
"Estonia",1964,1275471
"Ethiopia",1964,24396965
"Fiji",1964,450452
"Finland",1964,4546343
"France",1964,48402900
"French Polynesia",1964,90132
"Gabon",1964,523793
"Gambia",1964,394552
"Georgia",1964,4419583
"Germany",1964,75410766
"Ghana",1964,7513286
"Greece",1964,8492232
"Greenland",1964,36441
"Grenada",1964,94066
"Guatemala",1964,4600846
"Guinea",1964,3812004
"Guinea-Bissau",1964,643962
"Guyana",1964,635778
"Haiti",1964,4186636
"Honduras",1964,2282764
"Hong Kong, China",1964,3695136
"Hungary",1964,10135688
"Iceland",1964,189276
"India",1964,487690114
"Indonesia",1964,97638027
"Iran",1964,24308080
"Iraq",1964,8122200
"Ireland",1964,2844373
"Israel",1964,2443297
"Italy",1964,51289904
"Jamaica",1964,1737616
"Japan",1964,96253064
"Jordan",1964,1050725
"Kazakhstan",1964,11577537
"Kenya",1964,9200158
"Kiribati",1964,45424
"South Korea",1964,27770874
"Kuwait",1964,431366
"Kyrgyz Republic",1964,2490244
"Lao",1964,2325742
"Latvia",1964,2236844
"Lebanon",1964,2041212
"Lesotho",1964,915473
"Liberia",1964,1224094
"Libya",1964,1652294
"Lithuania",1964,2928182
"Luxembourg",1964,327361
"Macao, China",1964,197523
"Macedonia, FYR",1964,1569143
"Madagascar",1964,5625401
"Malawi",1964,3963424
"Malaysia",1964,9287442
"Maldives",1964,100177
"Mali",1964,5503748
"Malta",1964,307389
"Mauritania",1964,963746
"Mauritius",1964,735860
"Mexico",1964,43264267
"Micronesia, Fed. Sts.",1964,50483
"Moldova",1964,3275457
"Mongolia",1964,1074517
"Montenegro",1964,529176
"Morocco",1964,13871988
"Mozambique",1964,8129268
"Namibia",1964,665297
"Nepal",1964,10719988
"Netherlands",1964,12057475
"New Caledonia",1964,88578
"New Zealand",1964,2581578
"Nicaragua",1964,2002119
"Niger",1964,3811813
"Nigeria",1964,49169819
"Norway",1964,3694987
"Oman",1964,608889
"Pakistan",1964,49555472
"Panama",1964,1276274
"Papua New Guinea",1964,2116832
"Paraguay",1964,2114095
"Peru",1964,11281015
"Philippines",1964,29962877
"Poland",1964,31229448
"Portugal",1964,8915539
"Puerto Rico",1964,2537637
"Qatar",1964,67487
"Romania",1964,19207098
"Russia",1964,125412397
"Rwanda",1964,3161719
"St. Lucia",1964,94813
"St. Vincent and the Grenadines",1964,85076
"Samoa",1964,123354
"Saudi Arabia",1964,4677409
"Senegal",1964,3547939
"Serbia",1964,7780683
"Seychelles",1964,45651
"Sierra Leone",1964,2301023
"Singapore",1964,1836087
"Slovak Republic",1964,4339082
"Slovenia",1964,1621883
"Solomon Islands",1964,132787
"South Africa",1964,19308166
"Spain",1964,31838485
"Sri Lanka",1964,10858780
"Sudan",1964,8475765
"Suriname",1964,322995
"Swaziland",1964,382575
"Sweden",1964,7682603
"Switzerland",1964,5729465
"Syria",1964,5224579
"Tajikistan",1964,2401598
"Tanzania",1964,11339076
"Thailand",1964,30881332
"Timor-Leste",1964,536798
"Togo",1964,1662072
"Tonga",1964,71757
"Trinidad and Tobago",1964,903272
"Tunisia",1964,4458609
"Turkey",1964,30292969
"Turkmenistan",1964,1829697
"Uganda",1964,7746181
"Ukraine",1964,44794325
"United Arab Emirates",1964,138220
"United Kingdom",1964,53920055
"United States",1964,197028908
"Uruguay",1964,2665387
"Uzbekistan",1964,9917202
"Vanuatu",1964,72131
"Venezuela",1964,9476255
"West Bank and Gaza",1964,1182168
"Vietnam",1964,36780984
"Yemen",1964,5522690
"Zambia",1964,3449266
"Zimbabwe",1964,4279561
"Albania",1965,1896125
"Algeria",1965,12626953
"Angola",1965,5765025
"Antigua and Barbuda",1965,59653
"Argentina",1965,22283389
"Armenia",1965,2204650
"Aruba",1965,57360
"Australia",1965,11368011
"Austria",1965,7298794
"Azerbaijan",1965,4579759
"Bahamas",1965,140049
"Bahrain",1965,187348
"Bangladesh",1965,55835020
"Barbados",1965,235373
"Belarus",1965,8607031
"Belgium",1965,9440279
"Belize",1965,106121
"Benin",1965,2632360
"Bhutan",1965,252629
"Bolivia",1965,4070590
"Bosnia and Herzegovina",1965,3524596
"Botswana",1965,595741
"Brazil",1965,84130061
"Brunei",1965,102525
"Bulgaria",1965,8206564
"Burkina Faso",1965,5174869
"Burundi",1965,3079034
"Cambodia",1965,6467196
"Cameroon",1965,5987671
"Canada",1965,19693538
"Cape Verde",1965,231427
"Central African Republic",1965,1648830
"Chad",1965,3310921
"Chile",1965,8612074
"China",1965,706590947
"Colombia",1965,19144220
"Comoros",1965,205412
"Congo, Dem. Rep.",1965,17369859
"Congo, Rep.",1965,1157905
"Costa Rica",1965,1589625
"Cote d'Ivoire",1965,4219739
"Croatia",1965,4328920
"Cuba",1965,7951928
"Cyprus",1965,580971
"Czech Republic",1965,9800931
"Denmark",1965,4760262
"Djibouti",1965,114963
"Dominican Republic",1965,3878952
"Ecuador",1965,5250120
"Egypt",1965,30872982
"El Salvador",1965,3197865
"Equatorial Guinea",1965,269427
"Eritrea",1965,1589187
"Estonia",1965,1290437
"Ethiopia",1965,25013551
"Fiji",1965,463884
"Finland",1965,4564690
"France",1965,48952283
"French Polynesia",1965,93440
"Gabon",1965,532512
"Gambia",1965,400865
"Georgia",1965,4477328
"Germany",1965,75990737
"Ghana",1965,7710547
"Greece",1965,8534252
"Greenland",1965,37963
"Grenada",1965,94579
"Guatemala",1965,4728203
"Guinea",1965,3877804
"Guinea-Bissau",1965,652566
"Guyana",1965,650379
"Haiti",1965,4271133
"Honduras",1965,2352637
"Hong Kong, China",1965,3801814
"Hungary",1965,10170472
"Iceland",1965,192251
"India",1965,497920270
"Indonesia",1965,100308896
"Iran",1965,24955116
"Iraq",1965,8375791
"Ireland",1965,2857104
"Israel",1965,2522530
"Italy",1965,51693136
"Jamaica",1965,1763436
"Japan",1965,97341852
"Jordan",1965,1119798
"Kazakhstan",1965,11909001
"Kenya",1965,9504702
"Kiribati",1965,46455
"South Korea",1965,28392722
"Kuwait",1965,482173
"Kyrgyz Republic",1965,2573494
"Lao",1965,2381063
"Latvia",1965,2261259
"Lebanon",1965,2092354
"Lesotho",1965,933251
"Liberia",1965,1252968
"Libya",1965,1717255
"Lithuania",1965,2966947
"Luxembourg",1965,330164
"Macao, China",1965,206910
